MSB	PRG	LSB	NME
063	000	046	TechnoKt
063	001	046	ElectrKt
063	002	046	JungleKt
063	003	046	HipHopKt
063	004	046	808 Kit
063	005	046	909 Kit
063	006	046	CS Kicks
063	007	046	CSTeckFx
063	008	046	Chop091
063	009	046	Chop095
063	010	046	Chop096
063	011	046	Chop102
063	012	046	Chop103
063	013	046	Chop107
063	014	046	Chop110
063	015	046	Chop113
063	016	046	Chop134
063	017	046	Chop135
063	018	046	Chop136
063	019	046	Chop139
063	020	046	Chop144
064	021	046	Chop160
063	000	034	umTrax1A
063	001	034	SineArpA
063	085	038	StrngPdA
