MSB	PRG	LSB	NME
000	000	000	GrandPno
000	001	000	BritePno
000	002	000	EGrndPno
000	003	000	HnkyTonk
000	004	000	ElPiano1
000	005	000	ElPiano2
000	006	000	Hrpschrd
000	007	000	Clvichrd
000	008	000	Celesta
000	009	000	Glocken
000	010	000	MusicBox
000	011	000	Vibrafon
000	012	000	Marimba
000	013	000	Xylophon
000	014	000	TubulBel
000	015	000	Dulcimer
000	016	000	DrawOrgn
000	017	000	PercOrgn
000	018	000	RockOrgn
000	019	000	ChrchOrg
000	020	000	ReedOrgn
000	021	000	Acordion
000	022	000	Harmnica
000	023	000	TangoAcd
000	024	000	NylonGtr
000	025	000	SteelGtr
000	026	000	Jazz Gtr
000	027	000	CleanGtr
000	028	000	MutedGtr
000	029	000	OvrDrvGt
000	030	000	Dist.Gtr
000	031	000	GtrHarmo
000	032	000	Aco.Bass
000	033	000	FngrBass
000	034	000	PickBass
000	035	000	Fretless
000	036	000	SlpBass1
000	037	000	SlpBass2
000	038	000	SynBass1
000	039	000	SynBass2
000	040	000	Violin
000	041	000	Viola
000	042	000	Cello
000	043	000	Contrbas
000	044	000	Trem.Str
000	045	000	Pizz.Str
000	046	000	Harp
000	047	000	Timpani
000	048	000	Strings1
000	049	000	Strings2
000	050	000	Syn.Str1
000	051	000	Syn.Str2
000	052	000	ChoirAah
000	053	000	VoiceOoh
000	054	000	SynVoice
000	055	000	Orch.Hit
000	056	000	Trumpet
000	057	000	Trombone
000	058	000	Tuba
000	059	000	MutedTrp
000	060	000	FrchHorn
000	061	000	BrasSect
000	062	000	SynBras1
000	063	000	SynBras2
000	064	000	SprnoSax
000	065	000	Alto Sax
000	066	000	TenorSax
000	067	000	Bari.Sax
000	068	000	Oboe
000	069	000	Eng.Horn
000	070	000	Bassoon
000	071	000	Clarinet
000	072	000	Piccolo
000	073	000	Flute
000	074	000	Recorder
000	075	000	PanFlute
000	076	000	BotlBlow
000	077	000	Shakhchi
000	078	000	Whistle
000	079	000	Ocarina
000	080	000	SquareLd
000	081	000	Saw Lead
000	082	000	CaliopLd
000	083	000	Chiff Ld
000	084	000	CharanLd
000	085	000	Voice Ld
000	086	000	Fifth Ld
000	087	000	Bass&Ld
000	088	000	NewAgePd
000	089	000	Warm Pad
000	090	000	PolySyPd
000	091	000	ChoirPad
000	092	000	BowedPad
000	093	000	MetalPad
000	094	000	Halo Pad
000	095	000	SweepPad
000	096	000	Ice Rain
000	097	000	SoundTrk
000	098	000	Crystal
000	099	000	Atmosphr
000	100	000	Bright
000	101	000	Goblins
000	102	000	Echoes
000	103	000	Sci-Fi
000	104	000	Sitar
000	105	000	Banjo
000	106	000	Shamisen
000	107	000	Koto
000	108	000	Kalimba
000	109	000	Bagpipe
000	110	000	Fiddle
000	111	000	Shanai
000	112	000	TnklBell
000	113	000	Agogo
000	114	000	SteelDrm
000	115	000	Woodblok
000	116	000	Taiko
000	117	000	MelodTom
000	118	000	Syn Drum
000	119	000	RevCymbl
000	120	000	FretNoiz
000	121	000	BrthNoiz
000	122	000	Seashore
000	123	000	Tweet
000	124	000	Telphone
000	125	000	Helicptr
000	126	000	Applause
000	127	000	Gunshot
