MSB	PRG	LSB	NME	ELC
000	000	000	GrandPno	0
000	001	000	BritePno	0
000	002	000	EGrndPno	1
000	003	000	HnkyTonk	1
000	004	000	ElPiano1	1
000	005	000	ElPiano2	1
000	006	000	Hrpschrd	0
000	007	000	Clavinet	1
000	008	000	Celesta	0
000	009	000	Glocken	0
000	010	000	MusicBox	1
000	011	000	Vibrafon	0
000	012	000	Marimba	0
000	013	000	Xylophon	0
000	014	000	TubulBel	0
000	015	000	Dulcimer	0
000	016	000	DrawOrgn	0
000	017	000	PercOrgn	0
000	018	000	RockOrgn	1
000	019	000	ChrchOrg	1
000	020	000	ReedOrgn	0
000	021	000	Acordion	1
000	022	000	Harmnica	0
000	023	000	TangoAcd	1
000	024	000	NylonGtr	0
000	025	000	SteelGtr	0
000	026	000	Jazz Gtr	0
000	027	000	CleanGtr	0
000	028	000	MutedGtr	0
000	029	000	OvrDrvGt	0
000	030	000	Dist.Gtr	0
000	031	000	GtrHarmo	0
000	032	000	Aco.Bass	0
000	033	000	FngrBass	0
000	034	000	PickBass	0
000	035	000	Fretless	0
000	036	000	SlapBass	0
000	037	000	SlapBas2	0
000	038	000	SynBass1	0
000	039	000	SynBass2	1
000	040	000	Violin	0
000	041	000	Viola	0
000	042	000	Cello	0
000	043	000	Contrbas	0
000	044	000	Trem.Str	0
000	045	000	Pizz.Str	0
000	046	000	Harp	0
000	047	000	Timpani	0
000	048	000	Strings1	0
000	049	000	Strings2	0
000	050	000	Syn.Str1	1
000	051	000	Syn.Str2	1
000	052	000	ChoirAah	0
000	053	000	VoiceOoh	0
000	054	000	SynVoice	0
000	055	000	Orch.Hit	1
000	056	000	Trumpet	0
000	057	000	Trombone	0
000	058	000	Tuba	0
000	059	000	MutedTrp	0
000	060	000	FrchHorn	1
000	061	000	BrasSect	0
000	062	000	SynBras1	1
000	063	000	SynBras2	0
000	064	000	SprnoSax	0
000	065	000	Alto Sax	0
000	066	000	TenorSax	0
000	067	000	Bari.Sax	0
000	068	000	Oboe	1
000	069	000	Eng.Horn	0
000	070	000	Bassoon	0
000	071	000	Clarinet	0
000	072	000	Piccolo	0
000	073	000	Flute	0
000	074	000	Recorder	0
000	075	000	PanFlute	0
000	076	000	BotlBlow	1
000	077	000	Shakhchi	1
000	078	000	Whistle	0
000	079	000	Ocarina	0
000	080	000	SquareLd	1
000	081	000	Saw Lead	1
000	082	000	CaliopLd	1
000	083	000	Chiff Ld	1
000	084	000	CharanLd	1
000	085	000	Voice Ld	1
000	086	000	Fifth Ld	1
000	087	000	Bass&Ld	1
000	088	000	NewAgePd	1
000	089	000	Warm Pad	1
000	090	000	PolySyPd	1
000	091	000	ChoirPad	1
000	092	000	BowedPad	1
000	093	000	MetalPad	1
000	094	000	Halo Pad	1
000	095	000	SweepPad	1
000	096	000	Ice Rain	1
000	097	000	SoundTrk	1
000	098	000	Crystal	1
000	099	000	Atmosphr	1
000	100	000	Bright	1
000	101	000	Goblins	1
000	102	000	Echoes	1
000	103	000	Sci-Fi	1
000	104	000	Sitar	0
000	105	000	Banjo	0
000	106	000	Shamisen	0
000	107	000	Koto	0
000	108	000	Kalimba	0
000	109	000	Bagpipe	1
000	110	000	Fiddle	0
000	111	000	Shanai	0
000	112	000	TnklBell	1
000	113	000	Agogo	1
000	114	000	SteelDrm	1
000	115	000	Woodblok	0
000	116	000	Taiko	0
000	117	000	MelodTom	1
000	118	000	Syn Drum	0
000	119	000	RevCymbl	0
000	120	000	FretNoiz	1
000	121	000	BrthNoiz	1
000	122	000	Seashore	1
000	123	000	Tweet	1
000	124	000	Telphone	0
000	125	000	Helicptr	0
000	126	000	Applause	0
000	127	000	Gunshot	0
120	000	000	Standard	16
120	008	000	Room Kit	16
120	009	000	HipHopKt	16
120	010	000	JungleKt	16
120	011	000	TechnoKt	16
120	016	000	PowerKit	16
120	024	000	ElectrKt	16
120	025	000	AnalogKt	16
120	032	000	Jazz Kit	16
120	040	000	BrushKit	16
120	041	000	BrushKt2	16
120	048	000	Orch.Kit	16
120	056	000	SFX Kit	16
121	000	000	GrandPno	0
121	000	001	GrndPnoW	0
121	000	002	GrndPnoD	0
121	001	000	BritePno	0
121	001	001	BritPnoW	0
121	002	000	EGrndPno	1
121	002	001	EGndPnoW	1
121	003	000	HnkyTonk	1
121	003	001	HnkyTnkW	1
121	004	000	ElPiano1	1
121	004	001	DetEPno1	1
121	004	002	VX E.Pno	1
121	004	003	60sElPno	0
121	005	000	ElPiano2	1
121	005	001	DetEPno2	1
121	005	002	VX EPno2	1
121	005	003	DX Legnd	1
121	005	004	DX Phase	1
121	006	000	Hrpschrd	0
121	006	001	HpschdOM	1
121	006	002	HpschrdW	0
121	006	003	HpschdKO	1
121	007	000	Clavinet	1
121	007	001	PlsClavi	0
121	008	000	Celesta	0
121	009	000	Glocken	0
121	010	000	MusicBox	1
121	011	000	Vibrafon	0
121	011	001	VibrafnW	0
121	012	000	Marimba	0
121	012	001	MarimbaW	0
121	013	000	Xylophon	0
121	014	000	TubulBel	0
121	014	001	ChrchBel	1
121	014	002	Carillon	1
121	015	000	Dulcimer	0
121	016	000	DrawOrgn	0
121	016	001	DetDrwOr	1
121	016	002	60sDrOrg	1
121	016	003	DrawOrg2	1
121	017	000	PercOrgn	0
121	017	001	DetPrcOr	1
121	017	002	PercOrg2	1
121	018	000	RockOrgn	1
121	019	000	ChrchOrg	1
121	019	001	ChurOrOM	1
121	019	002	DetChrOr	1
121	020	000	ReedOrgn	0
121	020	001	Puff Org	1
121	021	000	Acordion	1
121	021	001	AccordIt	1
121	022	000	Harmnica	0
121	023	000	TangoAcd	1
121	024	000	NylonGtr	0
121	024	001	Ukulele	0
121	024	002	NylnGtKO	1
121	024	003	NylonGt2	0
121	025	000	SteelGtr	0
121	025	001	12StrGtr	1
121	025	002	Mandolin	1
121	025	003	Stl&Body	1
121	026	000	Jazz Gtr	0
121	026	001	PdlSteel	0
121	027	000	CleanGtr	0
121	027	001	DetChoGt	1
121	027	002	MidT.Gtr	0
121	028	000	MutedGtr	0
121	028	001	Funk Gtr	1
121	028	002	MutedGtV	1
121	028	003	Jazz Man	1
121	029	000	OvrDrvGt	0
121	029	001	Gt.Pinch	1
121	030	000	Dist.Gtr	0
121	030	001	FeedbkGt	1
121	030	002	DstRthmG	1
121	031	000	GtrHarmo	0
