MSB	LSB	PRG	NME
122	000	000	Standard
122	000	001	Room Kit
122	000	002	PowerKit
122	000	003	Electro
122	000	004	BOB Kit
122	000	005	Jazz Kit
122	000	006	Orch.Kit
122	004	000	SP Kit
000	004	000	GrandPno
000	004	001	BritePno
000	004	002	GrndPno2
000	004	003	EGrndPno
000	004	004	El.Piano
000	004	005	EGndPno2
000	004	006	ElPiano2
000	004	007	HnkyTonk
000	004	008	RockOrgn
000	004	009	DrawOrgn
000	004	010	PercOrgn
000	004	011	ElecOrgn
000	004	012	PipeOrgn
000	004	013	PipeOrg2
000	004	014	PipeOrg3
000	004	015	Acordion
000	004	016	Hrpschrd
000	004	017	Hpschrd2
000	004	018	Hpschrd3
000	004	019	Clvichrd
000	004	020	Clavi. 2
000	004	021	Clavi. 2
000	004	022	Celesta
000	004	023	Celesta2
000	004	024	SynBrass
000	004	025	SynBras2
000	004	026	OvrDrvGt
000	004	027	Dist.Gtr
000	004	028	Syn.Bass
000	004	029	SynBass2
000	004	030	SynBass3
000	004	031	SynBass4
000	004	032	NewAgePd
000	004	033	Warm Pad
000	004	034	ChoirPad
000	004	035	BowedPad
000	004	036	SoundTrk
000	004	037	Atmosphr
000	004	038	Syn.Warm
000	004	039	SynVoice
000	004	040	EchoBell
000	004	041	Rain
000	004	042	Syn.Wind
000	004	043	Echoes
000	004	044	Syn.Solo
000	004	045	ReedOrgn
000	004	046	Syn.Bell
000	004	047	SquareLd
000	004	048	Strings1
000	004	049	Strings2
000	004	050	Syn. Str
000	004	051	Pizz.Str
000	004	052	Violin
000	004	053	Viola
000	004	054	Cello
000	004	055	Cello 2
000	004	056	Contraba
000	004	057	Harp
000	004	058	Harp 2
000	004	059	NylonGtr
000	004	060	SteelGtr
000	004	061	Elec.Gtr
000	004	062	ElecGtr2
000	004	063	Sitar
000	004	064	WoodBass
000	004	065	WoodBas2
000	004	066	FngrBass
000	004	067	PickBass
000	004	068	SlapBass
000	004	069	SlpBass2
000	004	070	Fretless
000	004	071	Fretles2
000	004	072	Flute
000	004	073	Flute 2
000	004	074	Piccolo
000	004	075	Piccolo2
000	004	076	Recorder
000	004	077	PanFlute
000	004	078	SprnoSax
000	004	079	Alto Sax
000	004	080	TenorSax
000	004	081	Bari.Sax
000	004	082	Clarinet
000	004	083	Clrinet2
000	004	084	Oboe
000	004	085	SawBrass
000	004	086	Bassoon
000	004	087	Harmnica
000	004	088	Trumpet
000	004	089	Trumpet2
000	004	090	Trombone
000	004	091	Trombon2
000	004	092	FrchHorn
000	004	093	FrHorn 2
000	004	094	Tuba
000	004	095	BrasSect
000	004	096	BrasSec2
000	004	097	Vibrafon
000	004	098	Vibrfon2
000	004	099	Mallet
000	004	100	WindBell
000	004	101	Glocken
000	004	102	TubulBel
000	004	103	Xylophon
000	004	104	Marimba
000	004	105	Koto
000	004	106	Shamisen
000	004	107	Shakhchi
000	004	108	Whistle
000	004	109	Whistle2
000	004	110	BotlBlow
000	004	111	Chiff Ld
000	004	112	Timpani
000	004	113	MelodTom
000	004	114	Dp Snare
000	004	115	Syn.Drum
000	004	116	SynDrum2
000	004	117	Taiko
000	004	118	TaikoRim
000	004	119	Cymbal
000	004	120	Castanet
000	004	121	Triangle
000	004	122	Orch.Hit
000	004	123	NewSynth
000	004	124	NewSyn.2
000	004	125	NewSyn.3
000	004	126	NewSyn.4
000	004	127	NewSyn.5
000	007	028	Atk Strs
000	007	029	ProgLead
000	007	030	Funk SE
000	007	031	FunkSE d
000	007	032	Saw Pad
000	007	033	SquarePd
000	007	034	12StrGtr
000	007	035	House Ba
000	007	036	EP&Bass
000	007	037	Bass&Ld2
000	007	038	83 Organ
000	007	039	83Organ2
000	007	040	SexyVoix
000	007	041	ProgLd 2
000	007	042	Syn.Pizz
000	007	043	PchBD&SD
000	007	044	RolDrSet
000	007	045	DstGtSet
000	007	046	DreamPad
000	007	047	GtFeedbk
000	007	048	ChorusGt
000	007	049	BaroqStr
000	007	050	HyprSnic
000	007	051	WowSyn
000	007	052	AttackBa
000	007	053	BrassPad
000	007	054	DeepPad
000	007	055	MariVibr
000	007	056	MegaBeat
000	007	057	Harmo. 2
000	007	058	WowSyn2
000	007	059	Pno&W Ba
