voiceId	scSqr	scScale
gs1:GrandPno	1	0.5
gs2:GrandPno		
gs3:GrandPno	0	0.59375
gs4:GrandPno		
gs4:Uprt.Pno		
gs4:Mild Pno		
gs1:Piano 1w	1	0.5
gs4:UprtP. w		
gs4:MildP. w		
gs1:Piano 1d	1	0.5
gs3:EuropePf		
gs3:PianoStr		
gs4:Pno+Str2		
gs4:DreamPno		
gs4:DreamP.2		
gs1:BritePno	1	0.4375
gs2:BritePno		
gs3:BritePno		
gs4:BritePno		
gs4:PopPiano		
gs4:Rock Pno		
gs1:Piano 2w	1	0.375
gs2:Piano 2w		
gs3:Piano 2w	0	0.625
gs4:PopPno w		
gs4:RockP. w		
gs3:DancePno		
gs1:EGrndPno	1	0.625
gs2:EGrndPno		
gs3:EGrndPno		
gs2:EGRhode1		
gs2:EGRhode2		
gs1:Piano 3w	1	0.375
gs2:Piano 3w		
gs3:Piano 3w	0	0.78125
gs1:HnkyTonk	1	0.375
gs2:HnkyTonk		
gs3:HnkyTonk		
gs4:HnkyTonk		
gs1:HnkyTk w	1	0.375
gs2:Old Uprt		
gs3:HnkyTnk2		
gs1:ElPiano1	1	0.4375
gs2:ElPiano1		
gs3:ElPiano1	0	0.84375
gs1:Det.EP 1	1	0.25
gs2:StSoftEP		
gs3:ChorusEP		
gs3:SilntRho		
gs1:EPiano1v	1	0.5
gs2:FM+SA EP		
gs3:Dst.EPno		
gs1:60sElPno	1	0.5
gs3:Wurly EP		
gs2:HrdRhode		
gs2:MelRhode		
gs1:ElPiano2	1	0.4375
gs2:ElPiano2		
gs4:ElPiano3		
gs1:Det.EP 2	1	0.25
gs4:Det.EP 3		
gs4:DXLegend		
gs1:ElPno 2v	1	0.5
gs2:StereoDX	0	0.5625
gs2:DX Hard 		
gs4:DX Phase		
gs1:Hrpschrd	1	0.4375
gs2:Hrpschrd		
gs4:Hrpschrd		
gs3:Hpschrd2		
gs4:Hpschrd3		
gs1:CplHapsi	1	0.25
gs1:Harpsi.w	1	0.375
gs1:Harpsi.o	1	0.25
gs3:SynHapsi		
gs1:Clavinet	1	0.75
gs2:Clavinet		
gs4:Clavinet		
gs4:Clvinet2		
gs4:AtkClavi		
gs4:AtkClv.2		
gs3:Comp Clv		
gs3:Reso Clv		
gs4:PhaseClv		
gs3:Clavi. o		
gs3:AnaClavi		
gs3:JP8 Clv1		
gs3:JP8 Clv2		
gs4:SyRngClv		
gs4:SyDstClv		
gs4:JP8k Clv		
gs4:PulseClv		
gs1:Celesta	1	0.625
gs3:PopCelst		
gs1:Glocken	1	0.56
gs2:Glocken		
gs1:MusicBox	1	0.75
gs2:MusicBox		
gs4:MusicBox		
gs4:MusicBx2		
gs4:St.MusBx		
gs1:Vibrafon	1	0.625
gs2:Vibrafon		
gs3:Vibrafon		
gs2:HardVibr		
gs3:Pop Vibr		
gs1:Vib. w	1	0.4375
gs3:Vibra. w		
gs3:Vibrafns		
gs1:Marimba	1	0.5
gs2:Marimba		
gs1:Marmba w	2	0.5
gs2:Barafon		
gs2:Barafon2		
gs2:Log Drum		
gs1:Xylophon	1	0.9375
gs2:Xylophon		
gs4:Xylofn.w		
gs1:TubulBel	1	0.625
gs4:TubulBel		
gs1:ChrchBel	1	1
gs1:Carillon	1	0.9375
gs4:ChchBel2		
gs4:TubBel w		
gs1:Santur	1	0.75
gs4:Santur		
gs2:Santur 2		
gs4:Santur 3		
gs2:Cimbalom		
gs3:Zither		
gs3:Zither 2		
gs3:Dulcimer		
gs1:DrawOrgn	1	0.625
gs2:DrawOrgn		
gs3:DrawOrgn		
gs2:Organ101		
gs4:FullOrgn		
gs4:FullOrg2		
gs4:FullOrg3		
gs4:FullOrg4		
gs4:FullOrg5		
gs4:FullOrg6		
gs1:DetDrwOr	1	0.25
gs3:TremDrOr		
gs2:Organ109		
gs3:Organ. o		
gs4:FullOrg7		
gs4:FullOrg8		
gs4:FullOrg9		
gs1:60sDrOrg	1	0.375
gs2:60sDrOr2		
gs2:60sDrOr3		
gs3:FarfOrgn		
gs2:CheezOrg		
gs3:D-50 Org		
gs3:JUNO Org		
gs3:HybridOr		
gs3:VS Organ		
gs3:EChrchOr		
gs4:JX-8P Or		
gs4:FM Organ		
gs1:DrawOrg2	1	0.375
gs3:70sDrOrg		
gs2:EvenBar		
gs2:Organ Ba		
gs3:5thOrgan		
gs1:PercOrgn	1	0.9375
gs2:PercOrgn		
gs3:PercOrgn		
gs2:Organ201		
gs3:JazzOrgn		
gs3:EOrg16+2		
gs4:JazzOrg2		
gs4:JazzOrg3		
gs4:JazzOrg4		
gs4:JazzOrg5		
gs4:JazzOrg6		
gs1:DetPrcOr	1	0.375
gs3:ChorusOr		
gs3:OctaveOr		
gs1:PercOrg2	1	0.4375
gs3:PercOrg3		
gs4:PercOrg4		
gs4:PercOrg5		
gs4:PercOrg6		
gs1:RockOrgn	0	0.375
gs2:RotaryOr		
gs2:SlwRotar		
gs3:RockOrg2		
gs3:RockOrg3		
gs2:FstRotar		
gs1:ChrchOrg	1	0.4375
gs1:ChurOrg2	1	0.3125
gs1:ChurOrg3	1	0.3125
gs2:OrgFlute		
gs2:TrmOrgFl		
gs3:ThtreOrg		
gs1:ReedOrgn	1	0.6875
gs3:WindOrgn		
gs4:PuffOrgn		
gs1:Acordion	1	0.4375
gs2:Acordion		
gs3:Acordion		
gs1:AccordIt	0	0.25
gs3:DstAcord		
gs3:ChoAcord		
gs3:HrdAcord		
gs3:SftAcord		
gs1:Harmnica	1	0.375
gs2:Harmnica		
gs3:Harmnica		
gs4:Harmnica		
gs2:Harmo. 2		
gs4:BscBHrmo		
gs4:SplBHrmo		
gs1:Bndoneon	1	0.3125
gs2:Bndoneon		
gs3:Bndoneon		
gs3:Bndneon2		
gs3:Bndneon3		
gs1:NylonGtr	1	0.75
gs2:NylonGtr		
gs3:NylonGtr		
gs1:Ukulele	2	0.6875
gs1:NylnGt.o	1	0.625
gs2:VelGtHrm		
gs1:NylonGt2	1	0.6875
gs2:LequintG		
gs1:SteelGtr	1	0.625
gs2:SteelGtr		
gs3:SteelGtr		
gs1:12StrGtr	1	0.4375
gs2:Nyln&Stl		
gs4:AtkSteel		
gs1:Mandolin	1	0.5
gs3:Mandoln2		
gs3:MandoTrm		
gs2:SteelGt2		
gs4:Stl&Body		
gs1:Jazz Gtr	1	1
gs3:Jazz Gtr		
gs2:MellowGt		
gs1:HawaiiGt	1	0.5
gs2:PedalStl		
gs1:CleanGtr	1	0.625
gs2:CleanGtr		
gs3:CleanGtr		
gs3:ClnHalfG		
gs3:OpnHrdGt	0	0.9375
gs3:OpnHrdG2		
gs3:JC ClnGt		
gs4:AtkClnGt		
gs1:ChorusGt	1	0.375
gs3:JC ChoGt		
gs3:TCFrntPk		
gs3:TCRearPk		
gs3:TC Clean		
gs3:TC Cln 2		
gs4:LPRearPk		
gs4:LPRearP2		
gs4:LPRearAt		
gs4:MidT.Gtr		
gs4:ChngRuan		
gs4:ChgRuan2		
gs1:MutedGtr	1	0.75
gs2:MutedGtr		
gs3:MutedGtr		
gs2:Mu.DstGt		
gs3:TCMuteGt	0	1	
gs1:Funk Gtr	2	0.5
gs2:Funk Pop		
gs1:FunkGtr2	1	0.5625
gs4:Jazz Man		
gs1:OvrDrvGt	1	0.6875
gs2:OvrDrvGt		
gs3:OvrDrvGt		
gs3:OvrDrGt2	0	0.8125
gs3:OvrDrGt3	0	0.5625
gs3:MoDrvGtr		
gs4:Gt.Pinch		
gs4:AtkDrvGt		
gs3:LPOvrDrv		
gs3:LPOvrDr2		
gs4:LP HfDrv		
gs4:LPHfDrv2		
gs4:LPChorus		
gs1:Dist.Gtr	1	0.5
gs2:Dist.Gtr		
gs3:Dist.Gtr		
gs2:DistGtr2		
gs2:DazedGtr		
gs3:DistGtr3		
gs3:FstDstGt		
gs4:AtkDstGt		
gs1:FeedbkGt	2	0.5
gs2:FeedbkG2		
gs2:PowerGtr	0	0.75
gs2:PowerGt2		
gs2:5thDist.		
gs2:RockRthm		
gs2:RckRthm2		
gs4:DsRthmGt		
gs1:GtrHarmo	1	0.75
gs1:GtFeedbk	1	0.5
gs3:GtrFdbk2		
gs2:AcGtrHmo		
gs3:ElBaHrmo		
gs1:Aco.Bass	1	1
gs2:Aco.Bass		
gs3:Aco.Bass		
gs4:Aco.Bass		
gs3:Rokabily		
gs3:WildAcBa		
gs4:AtkAcoBa		
gs3:Bass+OHH		
gs1:FngrBass	1	0.9375
gs2:FngrBass		
gs3:FngrBass		
gs2:FngrBas2		
gs2:Jazzy Ba		
gs3:JazzyBa2		
gs3:RockBass		
gs4:HeartBas		
gs4:AtkFngr.		
gs4:FngrSlap		
gs3:ChorJzBa		
gs3:F.Ba/Hrm		
gs1:PickBass	1	0.75
gs2:PickBass		
gs3:PickBass		
gs3:PickBas2		
gs3:PickBas3	1	0.75
gs3:PickBas4	1	0.75
gs4:DblPikBa		
gs2:M.PkBass		
gs3:PkBa/Hrm		
gs1:Fretless	1	0.75
gs2:Fretless		
gs2:Fretles2		
gs2:Fretles3		
gs2:Fretles4		
gs2:SynFretl		
gs2:SmthFrtl		
gs3:WoodFrtl		
gs1:SlapBass	1	0.90625
gs2:SlapBass		
gs3:Pop Slap		
gs2:ResoSlap		
gs3:UnisnSlp		
gs1:SlapBas2	1	0.6875
gs2:SlapBas2		
gs4:SlpBass3		
gs3:FM Slap		
gs1:SynBass1	1	0.4375
gs2:SynBass1		
gs1:SynBa101	1	0.5625
gs3:CS Bass		
gs3:JP-4 Ba		
gs3:JP-8 Ba		
gs3:P5 Bass		
gs3:JPMG Ba		
gs1:SynBass3	1	0.3125
gs2:AcidBass		
gs2:TB303 Ba		
gs2:TechnoBa		
gs3:TB303Ba2		
gs3:TB303Kik		
gs3:TB303Saw		
gs3:Rubbr303		
gs3:Reso 303		
gs2:ResoSHBa		
gs3:303SqrBa		
gs3:303DstBa		
gs4:Clavi.Ba		
gs4:HammerBa		
gs4:JungleBa		
gs4:SquareBa		
gs4:Sqr.Ba.2		
gs3:ArpgioBa		
gs4:Polak Is		
gs4:VeryCute		
gs4:HitSawBa		
gs4:RingBass		
gs4:AtkSinBa		
gs4:OBSineBa		
gs4:Aux Bass		
gs4:303SqDsB		
gs4:303SqDB2		
gs4:303SqDB3		
gs4:303SqBRv		
gs4:TeeBee		
gs1:SynBass2	2	0.75
gs2:SynBa201		
gs2:ModulrBs		
gs2:Seq.Bass		
gs3:MG Bass		
gs3:MGOctBas		
gs3:MGOctBa2		
gs3:MGBlipBa		
gs1:SynBass4	1	0.3125
gs2:BeefFMBa		
gs2:X WireBa		
gs3:Dly Bass		
gs3:X WireBa		
gs3:WreStrBa		
gs3:BlipBass		
gs3:RubbrBa2		
gs4:SynBelBa		
gs4:Odd Bass		
gs1:RubberBa	1	0.3125
gs2:SH101Ba1		
gs2:SH101Ba2		
gs2:SmoothBa		
gs3:SH101Ba3		
gs3:Spike Ba		
gs3:House Ba		
gs3:KG Bass		
gs3:SyncBass		
gs3:MG5th Ba		
gs3:RandomBa		
gs3:WowMG Ba		
gs3:BubbleBa		
gs4:AtkPulse		
gs4:SyncBas2		
gs4:PulseMix		
gs4:MGDistBa		
gs4:SeqBass2		
gs4:3rd Bass		
gs4:MGOctBas		
gs4:SlwEnvBa		
gs4:MildBass		
gs4:DstEnvBa		
gs4:MGLiteBa		
gs4:DstSynBa		
gs4:RiseBass		
gs4:CyberBas		
gs1:Violin	1	0.5625
gs2:Violin		
gs3:Violin		
gs3:ViolnAtk		
gs1:SlwVioln	1	0.6875
gs1:Viola	1	0.5625
gs2:Viola		
gs3:Viola		
gs3:ViolaAtk		
gs1:Cello	1	0.8125
gs2:Cello		
gs3:Cello		
gs3:CelloAtk		
gs1:Contrbas	1	0.71875
gs2:Contrbas		
gs3:Contrbas		
gs4:Contrbas		
gs1:Trem.Str	1	0.5625
gs2:Trem.Str		
gs4:TrmStrSt		
gs2:SlwTrStr		
gs2:Susp.Str		
gs4:SuspStr2		
gs1:Pizz.Str	1	0.75
gs2:Pizz.Str		
gs3:VcCbPizz		
gs3:ChmbrPiz		
gs3:St. Pizz		
gs3:SoloPizz		
gs3:SoloSpic		
