MSB	LSB	PRG	NME
063	000	000	GrandPno
063	000	064	EPRBSW12
063	000	087	EPDynoEC
063	001	000	BrtClvBD
063	001	006	DstClvBD
063	001	029	LuvSngOr
063	001	049	RkPercOr
063	002	000	Angklung
063	002	001	StStrngs
063	002	055	Cathedrl
063	003	000	HdAltoSx
063	003	009	MemoryLd
063	003	025	RudeLead
063	004	000	BadDream
063	004	011	MirrorPd
063	004	019	ShmSpkPd
063	004	025	PalwanPd
063	004	027	SwirlPad
063	004	035	UVibePad
063	004	040	LocoMtiv
063	004	088	PsycoGtr
063	004	099	EFngrBa2
063	004	101	EFngrBa4
063	004	117	KikBaDcy
063	005	000	Saw Bass
063	005	035	RockKit2
063	005	044	JazHopKt
063	005	059	TropicKt
063	005	072	BD&SDCl1
063	005	089	TrpclMlt
063	005	105	Gaisya
063	005	106	Tsugaru
063	005	107	ShkMondo
063	005	108	KtoFuryu
063	005	109	MiyabiHt
