MSB	LSB	PRG	NME
063	000	000	Kross Grand Piano 1
063	000	001	Kross Grand Piano 2
063	000	002	Stereo Grand Piano
063	000	003	Bright Grand Piano 1
063	000	004	Bright Grand Piano 2
063	000	005	Rock Grand Piano
063	000	006	Stage Grand Piano 1
063	000	007	Stage Grand Piano 2
063	000	008	Vivid Grand Piano
063	000	009	Warm Grand Piano
063	000	010	Dark Grand Piano
063	000	011	Pop Grand Piano
063	000	012	Reverb Grand Piano
063	000	013	Stereo A.Piano
063	000	014	Bright A.Piano
063	000	015	Chorus A.Piano
063	000	016	Upright Piano 1
063	000	017	Upright Piano 2
063	000	018	Upright Piano 3
063	000	019	Bar Room Piano
063	000	020	Monaural A.Piano
063	000	021	Bright Mono Piano
063	000	022	Dark Mono Piano
063	000	023	Bright Mono Grand
063	000	024	Dark Mono Grand
063	000	025	Comp Mono Grand
063	000	026	Hammer Mono Piano
063	000	027	Detuned Piano
063	000	028	Honkey Tonky
063	000	029	Old Story Grand
063	000	030	Very Old Grand
063	000	031	Fortepiano
063	000	032	SG-1D Piano 1
063	000	033	SG-1D Piano 2
063	000	034	M1 Piano
063	000	035	Electric Grand 1
063	000	036	Electric Grand 2
063	000	037	Chorus E.Grand 1
063	000	038	Chorus E.Grand 2
063	000	039	Dual Piano
063	000	040	Chillout Piano
063	000	041	Sad Piano
063	000	042	Damper Piano
063	000	043	Piano Dub Wheel
063	000	044	Lo FS Piano Wheel
063	000	045	Piano + FM E.Piano
063	000	046	Alone Piano
063	000	047	Piano+Dyno E.Piano
063	000	048	Romance Piano
063	000	049	Sparkling Piano
063	000	050	A.Piano + Strings
063	000	051	A.Piano+Orch Pad 1
063	000	052	A.Piano+Orch Pad 2
063	000	053	Grand Piano+Strings
063	000	054	Grand Pf+Orch Pad1
063	000	055	Grand Pf+Orch Pad2
063	000	056	Grand Pf+Small Str.
063	000	057	Grand Pf+Str.Pad 1
063	000	058	Grand Pf+Str.Pad 2
063	000	059	A.Piano + Synth Pad
063	000	060	90's Piano
063	000	061	Celesta
063	000	062	Toy Piano
063	000	063	Romance ToyPiano
063	000	064	E.P.Suit R&B SW1/2
063	000	065	E.P.Suit R&B Phaser
063	000	066	E.P.Suit Preamp
063	000	067	E.P.Suit Dist. SW2
063	000	068	E.P.Suit Dist&Phaser
063	000	069	E.P.Suit 1984
063	000	070	E.P.Suit Classic Bell
063	000	071	E.P.Suit Mark I Line
063	000	072	E.P.Suit Mark I Silver
063	000	073	E.P.Suit Tremolo
063	000	074	E.P.Suit Cho&U-Vibe
063	000	075	EP Suit U-Vibe&Echo
063	000	076	E.P.Suit BiPhase MW
063	000	077	E.P.Suit Phaser 1
063	000	078	E.P.Suit Phaser 2
063	000	079	E.P.Suit Preamp&Wah
063	000	080	E.P.Suit WahWah
063	000	081	E.P.Suit BPM Delay
063	000	082	E.P.Suit Mark V
063	000	083	E.P.Suit Hard
063	000	084	E.P.Dyno Studio
063	000	085	E.P.Dyno EQ/Chorus
063	000	086	E.P.Dyno Chorus
063	000	087	EP Dyno Exciter/Cho
063	000	088	E.P.Reed Wah Wheel
063	000	089	E.P.Reed Mellow
063	000	090	E.P.Reed Tremolo
063	000	091	E.P.Reed Overdrive
063	000	092	E.P.Reed Rockin'
063	000	093	E.P.Reed Chorus
063	000	094	E.P.Reed Phaser
063	000	095	SuitPure E.P.+Pad
063	000	096	SuitBright E.P.+Pad 1
063	000	097	SuitBright E.P.+Pad 2
063	000	098	SuitHard+FM E.Piano
063	000	099	FM E.Piano Deluxe 1
063	000	100	FM E.Piano Deluxe 2
063	000	101	FM E.Piano Classic 1
063	000	102	FM E.Piano Classic 2
063	000	103	FM E.Piano Classic 3
063	000	104	FM E.Piano + Strings
063	000	105	FM E.P. + E.P.Pad 1
063	000	106	FM E.P. + E.P.Pad 2
063	000	107	FM E.Piano+Syn Pad
063	000	108	FM Suitcase E.P.
063	000	109	Chorus FM+Suit E.P.
063	000	110	FM E.P. + Dyno E.P.
063	000	111	Pad E.Piano 1
063	000	112	Pad E.Piano 2
063	000	113	Pad E.Piano 3
063	000	114	Hybrid Phaser E.P.
063	000	115	E.P.Pad + Synth
063	000	116	Super Grand
063	000	117	Phantom E.Piano
063	000	118	Tablet E.Piano SW2
063	000	119	Tablet E.Harpsi SW2
063	000	120	Clavi AC Bright
063	000	121	Clavi AC Mellow
063	000	122	Clavi AC Distortion
063	000	123	Clavi AC Velo Wah
063	000	124	Clavi AD Bright
063	000	125	Clavi AD Mellow
063	000	126	Clavi AD Distortion
063	000	127	Clavi AD Velo Wah
063	001	000	Clavi BC Bright
063	001	001	Clavi BC Mellow
063	001	002	Clavi BC Distortion
063	001	003	Clavi BC Velo Wah
063	001	004	Clavi BD Bright
063	001	005	Clavi BD Mellow
063	001	006	Clavi BD Distortion
063	001	007	Clavi BD Velo Wah
063	001	008	Clavi Touch Wah
063	001	009	Higher Ground Clavi
063	001	010	Superstition Clavi
063	001	011	Kid Charlmagne Clavi
063	001	012	Trampled Under Clavi
063	001	013	Clavi Phaser SW1
063	001	014	WS Clavi VeloSwitch
063	001	015	Pure Clavichord
063	001	016	Harpsicord Single
063	001	017	Harpsicord Double 1
063	001	018	Harpsicord Double 2
063	001	019	E.Organ Jazz Perc.1
063	001	020	E.Organ Jazz Perc.2
063	001	021	E.Organ Jazz Perc.3
063	001	022	E.Organ CX3 Perc.
063	001	023	E.Organ Mondo Perc.
063	001	024	E.Organ 88 Perc.
063	001	025	E.Organ Entertainer
063	001	026	E.Organ 888
063	001	027	E.Organ Warm OD
063	001	028	E.Organ Bossa
063	001	029	E.Organ Love Songs
063	001	030	E.Organ Gospel
063	001	031	E.Organ Comp.
063	001	032	E.Org Drawbars 1 MW
063	001	033	E.Org Drawbars 2 MW
063	001	034	E.Organ Manual Comp.
063	001	035	E.Org Vibrato/Chorus
063	001	036	E.Organ 800000048
063	001	037	E.Organ 880000048
063	001	038	E.Organ WarmGospel
063	001	039	E.Organ Tremolo
063	001	040	E.Organ Full->Soft
063	001	041	E.Organ BX3 Full
063	001	042	E.Organ Rock Full
063	001	043	E.Organ Vintage
063	001	044	E.Organ Church
063	001	045	E.Organ Ballad
063	001	046	E.Organ Blues/Slow
063	001	047	E.Organ Blues/Fast
063	001	048	E.Organ Rock OD
063	001	049	E.Organ Rock Prec.
063	001	050	E.Organ Master Rock
063	001	051	E.Organ Gospel Perc.
063	001	052	M1 Organ
063	001	053	E.Organ Vox Full
063	001	054	E.Organ VoxTabs SW2
063	001	055	E.Organ 60's Sound
063	001	056	E.Organ FarPro 1
063	001	057	E.Organ FarPro 2
063	001	058	E.Organ Combo
063	001	059	FollowYou/Me Organ
063	001	060	SineWheel Organ
063	001	061	VS Church Organ
063	001	062	DWGS Pop Organ
063	001	063	DWGS Church Organ
063	001	064	SineWheel 16'
063	001	065	SineWheel 5+1/3'
063	001	066	SineWheel 8'
063	001	067	SineWheel 4'
063	001	068	SineWheel 2+2/3'
063	001	069	SineWheel 2'
063	001	070	SineWheel 1+3/5'
063	001	071	SineWheel 1+1/3'
063	001	072	SineWheel 1'/Perc.
063	001	073	Pipe Organ Medium
063	001	074	Pipe Organ Full 1
063	001	075	Pipe Organ Full 2
063	001	076	Pipe Organ Mixture
063	001	077	Pipe Organ Positive
063	001	078	Pipe Positive/Mixture
063	001	079	Pipe Organ Reed
063	001	080	Street Organ
063	001	081	Accordion 8'+8'
063	001	082	Accordion 8'+4'
063	001	083	Accordion Stylish 1
063	001	084	Accordion Stylish 2
063	001	085	Musette + Principal
063	001	086	Bandoneon
063	001	087	Fisa 1
063	001	088	Fisa 2
063	001	089	Fisa 3
063	001	090	Pump/Reed Organ
063	001	091	Key Flute
063	001	092	Ensemble Bells
063	001	093	Puffle Bells
063	001	094	Breathy Bells
063	001	095	Heaven Bells
063	001	096	Soft Ensemble Bells
063	001	097	DWGS Bells 1
063	001	098	DWGS Bells 2
063	001	099	Tinkle Bells
063	001	100	Magic Bells
063	001	101	Lo FS Bells
063	001	102	Delayed Bells
063	001	103	Pure Satin Bells
063	001	104	FM Metal Bells
063	001	105	FM Glass Bells 1
063	001	106	FM Glass Bells 2
063	001	107	FM Tubular Bells
063	001	108	FM Bells
063	001	109	Krystal Bells
063	001	110	Cathedral Bells
063	001	111	Tubular Bells
063	001	112	Toy Hand Bells
063	001	113	Music Box
063	001	114	Plated Bells
063	001	115	Glockenspiel
063	001	116	Vibraphone
063	001	117	Steel Tongue Drum
063	001	118	Steel Drum
063	001	119	Gamelan
063	001	120	Sarna Bell
063	001	121	Kalimba
063	001	122	Xylophone
063	001	123	Marimba
063	001	124	MondoRimba
063	001	125	Skull Mallets
063	001	126	Tribal Mallets
063	001	127	Log Drum
063	002	000	Angklung
063	002	001	Stereo Strings 1
063	002	002	Stereo Strings 2
063	002	003	Lush Strings 1
063	002	004	Lush Strings 2
063	002	005	Bright Strings
063	002	006	Arco Stereo Strings
063	002	007	Legato Strings 1
063	002	008	Legato Strings 2
063	002	009	Symphonic Strings
063	002	010	Slow Strings
063	002	011	Platinum Strings
063	002	012	Camera Strings
063	002	013	Few Bows Strings
063	002	014	Intimate Strings
063	002	015	Arco Pop Strings
063	002	016	Pop Strings
063	002	017	Octave Strings
063	002	018	Maestoso Strings
063	002	019	Pizz Ensemble SW2
063	002	020	Pizz/Str.Quartet SW1
063	002	021	Str.Quartet/Pizz SW1
063	002	022	Violin 1 SW1
063	002	023	Violin 2 SW1
063	002	024	Viola 1 SW1
063	002	025	Viola 2 SW1
063	002	026	Cello 1 SW1
063	002	027	Cello 2 SW1
063	002	028	Contrabass 1 SW1
063	002	029	Contrabass 2 SW1
063	002	030	New Age Strings
063	002	031	Synth String Pad
063	002	032	Pure Analog Pad
063	002	033	Super Analog Pad
063	002	034	Analog Strings
063	002	035	Ana-2-Real Strings
063	002	036	Hybrid String Pad
063	002	037	Progressive Ana Str.
063	002	038	Mello MK II Strings
063	002	039	Mello 400S Strings
063	002	040	C-Berlin Strings 1
063	002	041	C-Berlin Strings 2
063	002	042	Tape Str.Oct.Mixed
063	002	043	Tape Strings Dual
063	002	044	Tronical Strings
063	002	045	Aaah Voices Stereo
063	002	046	Aah Voises Dynamic
063	002	047	Oooh Voices Stereo
063	002	048	Ooh L&R Airy Voices
063	002	049	Ooh Voices Light
063	002	050	Light Choir
063	002	051	Choir Of Angels
063	002	052	Classical Choir
063	002	053	Backing Vocals
063	002	054	Twilight Choir
063	002	055	Cathedral Choir
063	002	056	Splash Choir
063	002	057	Soundtrack Choir
063	002	058	Mixed Registers
063	002	059	Professional Choir
063	002	060	Morphing Voices
063	002	061	Infinite Choir
063	002	062	Take Voice
063	002	063	V.Switch Vocals
063	002	064	Mello Style Choir
063	002	065	Mello 8Voice Choir
063	002	066	Mello Classic Choir
063	002	067	Mello Stereo Choir
063	002	068	Vocoder Machine 1
063	002	069	Vocoder Machine 2
063	002	070	Vocoder Ah
063	002	071	Fresh Vox
063	002	072	Full Vox
063	002	073	Arctic Voices
063	002	074	Tranquil SW2
063	002	075	Voice Doo
063	002	076	Voxology
063	002	077	Velo Voxster
063	002	078	Open Brass
063	002	079	Sharp Brass
063	002	080	Tight Brass
063	002	081	Big Brass
063	002	082	Session Brass
063	002	083	Expressive Brass
063	002	084	Brass Section
063	002	085	Trumpets X-fade
063	002	086	Warm Brass
063	002	087	Film Brass
063	002	088	Sforzando Brass
063	002	089	Octave Brass 1
063	002	090	Octave Brass 2
063	002	091	Trombone Ensemble
063	002	092	Tp/Tb Muted
063	002	093	Tp/Tb Muted Oct
063	002	094	French Horn Ens
063	002	095	Horns & Ensemble
063	002	096	Brass Ens & Tubas
063	002	097	Orchestral Brass
063	002	098	Sforzando Orchestra
063	002	099	T.O.P Section
063	002	100	Brass & Reed
063	002	101	Brass&Saxophones
063	002	102	Brass&Octave Sax
063	002	103	Trumpets Dynamic
063	002	104	Trumpets Octave
063	002	105	Trombones 4-Way
063	002	106	Trumpet Sensitive
063	002	107	Trumpet Overblown
063	002	108	Trumpet Muted
063	002	109	Flugelhorn
063	002	110	Trombone
063	002	111	Trombone Muted
063	002	112	French Horn
063	002	113	Tuba
063	002	114	Flute Vibrato
063	002	115	Silver Flute
063	002	116	Attack Flute
063	002	117	Voice  Flute
063	002	118	Piccolo Flute
063	002	119	Mello MK II Flutes
063	002	120	Clarinet
063	002	121	Double Reed Family
063	002	122	Oboe
063	002	123	English Horn
063	002	124	Bassoon
063	002	125	Sax Ensemble
063	002	126	Soprano Sax
063	002	127	Alto Sax Soft
063	003	000	Alto Sax Hard
063	003	001	Tenor Sax Soft
063	003	002	Tenor Sax Hard
063	003	003	Baritone Sax
063	003	004	Harmonica
063	003	005	Recorder
063	003	006	Shakuhachi
063	003	007	ZEN Priest Split
063	003	008	Spit Bottle
063	003	009	Memory Lead SW2
063	003	010	DW8000 Lead 1
063	003	011	Espress Lead
063	003	012	Sweet MG Lead
063	003	013	Fat Saw Lead
063	003	014	Glide Lead
063	003	015	PWM Lead
063	003	016	DW8000 Lead 2
063	003	017	Lucky Man Lead
063	003	018	Old Square Lead SW1
063	003	019	Bright Square Lead
063	003	020	Unison Square Lead
