MSB	PRG	LSB	NME
100	038	000	ANSynBas
100	038	064	RealMini
100	038	065	Chamleon
100	038	066	Cream
100	038	067	Maxx
100	038	068	2001
100	038	069	BlapMoth
100	038	070	Ruff
100	038	071	BiggMac
100	038	072	Prphtic1
100	038	073	Prphtic2
100	038	074	Wonder
100	038	075	Slum
100	039	000	FootBase
100	039	064	Mini Low
100	039	065	DuckBass
100	039	066	10thTone
100	039	067	DuckBas2
100	039	068	Cracker
100	039	069	Monty
100	039	070	BirdWrld
100	039	071	Woodbass
100	039	072	RubbaBas
100	039	073	Smooth
100	039	074	Smoovey
100	039	075	Zed Bass
100	039	076	Oizo
100	050	000	Analog
100	050	064	So-Lina
100	050	065	Choclate
100	050	066	Stringer
100	051	000	Lush
100	051	064	Bonn
100	051	065	PWMStrng
100	051	066	MultiSaw
100	051	067	AnaStrng
100	051	068	StrngPad
100	054	000	MaMa
100	062	000	Fatty
100	062	064	MajorBrs
100	062	065	Bronze
100	062	066	HardBrss
100	063	000	ANSoftBr
100	063	064	CS80Bras
100	063	065	ToToHorn
100	063	066	SlowBras
100	080	000	Stevie
100	080	064	Pulsate
100	080	065	Silence
100	080	066	Maise
100	080	067	KnivesLd
100	080	068	Pulser
100	080	069	Sliver
100	080	070	Lucky
100	080	071	ANPopcrn
100	081	000	Caner
100	081	064	ANSyncHd
100	081	065	Chick
100	081	066	Susy
100	081	067	EarthLd
100	081	068	P-5 Saw
100	081	069	Rock It
100	081	070	Faaaat
100	081	071	DirtySaw
100	081	072	Rhubarb
100	081	073	J.Hammer
100	081	074	X-mod 2
100	081	075	PitchMan
100	081	076	EarthLd2
100	082	000	ANCaliop
100	083	000	AN Chiff
100	083	064	Pastel
100	084	000	ANSyncLd
100	084	064	Billy
100	084	065	Dre-full
100	084	066	Funky
100	085	000	AN VoxLd
100	086	000	Lipstick
100	086	064	Abacab
100	087	000	Squeamer
100	087	064	Mr.Hook
100	087	065	SupaSync
100	089	000	Magic
100	089	064	Contnent
100	089	065	Yellow
100	089	066	5th Pad
100	089	067	Kelp
100	090	000	SyncBrPd
100	091	000	Soar
100	092	000	AN Bowed
100	093	000	Sync Eko
100	093	064	Sharpsyn
100	093	065	SyncEko2
100	094	000	Vangelzm
100	095	000	PWMSweep
100	095	064	HighSwep
100	095	065	SyncSwep
100	095	066	Mountain
100	097	000	AN Track
100	098	000	X Bells
100	098	064	ResoBell
100	098	065	Triangle
100	098	066	XmodBell
100	099	000	Saphire
100	100	000	SepaWays
100	101	000	DeepBlue
100	102	000	Microdot
100	102	064	Snowball
100	103	000	Slalom
100	103	064	SyncSitr
100	112	000	ANBeltre
100	114	000	Woob
100	116	000	TriblTom
100	118	000	SynthTom
100	118	064	ULTSound
100	118	065	AN Toms
100	118	066	Tranix
100	119	000	AN HiHat
