MSB	LSB	PRG	NME
079	000	000	LiveRm A
079	000	001	LiveRm B
079	000	002	PowrdStd
079	000	003	DryStand
079	000	004	RockSt1
079	000	005	RockSt2
079	000	006	DryKit A
079	000	007	DryKit B
079	000	008	SmlRoom1
079	000	009	SmlRoom2
079	000	010	HeavyKit
079	000	011	RingSnrs
079	000	012	Rocky
079	000	013	Trashed1
079	000	014	Trashed2
079	000	015	Trashed3
079	000	016	Weirdo
079	000	017	DarkBrk
079	000	018	BriteBrk
079	000	019	RockBrk
079	000	020	DirtyTek
079	000	021	Ethnic
079	000	022	DigiLofi
079	000	023	NoizElec
079	000	024	BreakAmb
079	000	025	Electron
079	000	026	EthncAmb
079	000	027	Flanger
079	000	028	Phaser1
079	000	029	Phaser2
079	000	030	AM/PM
079	000	031	AutoPan
079	000	032	Drone
079	000	033	SnareKit
079	000	034	Cym Amb
079	000	035	KitA/Ht1
079	000	036	KitB/ht1
079	000	037	KitA/Ht2
079	000	038	KitB/Ht2
079	000	039	Spread1
079	000	040	Spread2
079	000	041	Spread3
079	000	042	Spread4
079	000	043	KicksPC
079	000	044	SnaresPC
079	000	045	TomsPC
079	000	046	HatsPC
079	000	047	Cymbals
079	000	048	AC-PlgPC
079	000	049	Br-PlgPC
079	000	050	ABAA/Prc
079	000	051	AABA/Prc
079	000	052	AAAB/Prc
079	000	053	ABBA/Prc
079	000	054	AABB/Prc
079	000	055	ABAB/Prc
079	000	056	ABBB/Prc
079	000	057	BABB/Prc
079	000	058	BBAB/Prc
079	000	059	BBBA/Prc
079	000	060	BAAB/Prc
079	000	061	BBAA/Prc
079	000	062	BABA/Prc
079	000	063	BAAA/Prc
079	000	064	AAAA/Kk
079	000	065	ABAA/Sn1
079	000	066	AABA/Sn2
079	000	067	AAAB/Tom
079	000	068	ABBA/Hat
079	000	069	AABB/Cym
079	000	070	ABAB/Sn1
079	000	071	ABBB/Sn2
079	000	072	BBBB/Kk
079	000	073	BABB/Sn1
079	000	074	BBAB/Sn2
079	000	075	BBBA/Tom
079	000	076	BAAB/Hat
079	000	077	BBAA/Cym
079	000	078	BABA/Sn1
079	000	079	BAAA/Sn2
079	001	000	AfroCubn
079	001	001	BrazilKt
079	001	002	MotifLtn
079	001	003	GM Perc
079	001	004	AfrCbn61
079	001	005	BruzKt61
079	001	006	AC-PlgDR
079	001	007	Br-PlgDR
079	001	008	Lt-PlgDR
079	001	009	GMLtnDrm
079	001	010	Live Pop
079	001	011	Kick&Snr
079	001	012	AfCbHand
079	001	013	BrzlHnd1
079	001	014	BrzlHnd2
079	001	015	BellsKit
079	001	016	Shakers
079	001	017	SkinsKit
079	001	018	Sticks 1
079	001	019	Sticks 2
079	001	020	DlyAfrCb
079	001	021	DlyBrazl
079	001	022	DlyGMPrc
079	001	023	DlyGMLtn
079	001	024	NzDAfrCb
079	001	025	NzDBrazl
079	001	026	OdAfrCbn
079	001	027	OdBrazil
079	001	028	OdGMLatn
079	001	029	OdKk&Snr
079	001	030	Dst1AfCb
079	001	031	Dst1Brzl
079	001	032	Dst1GMLt
079	001	033	Dst1Kk&S
079	001	034	Dst2AfCb
079	001	035	Dst2Brzl
079	001	036	Dst2GMLt
079	001	037	Dst2Kk&S
079	001	038	FlgAfrCb
079	001	039	FlgBrazl
079	001	040	FlgShkrs
079	001	041	PhsShkrs
079	001	042	Rz1Skins
079	001	043	Rz1Sick
079	001	044	Rz2Kk&Sn
079	001	045	Rz2Stick
079	001	046	Md1AfrCb
079	001	047	Md1Brazl
079	001	048	Md2AfrCb
079	001	049	Md2Brazl
079	001	050	Md3Bells
079	001	051	Md3Shkrs
079	001	052	Md4BrHd1
079	001	053	Md4BrHd2
079	001	054	Md5BrHd1
079	001	055	Md5BrHd2
079	001	056	PchBells
079	001	057	PchShkrs
079	001	058	PchSkins
079	001	059	PchStick
079	001	060	RevAfrCb
079	001	061	RvBrazil
079	001	062	RevMotif
079	001	063	RvGMPerc
079	001	064	RvAfCb61
079	001	065	RvBrzl61
079	001	066	RvACPgDR
079	001	067	RvBrPgDR
079	001	068	RvLtPgDR
079	001	069	RevGMLtn
079	001	070	RevLvPop
079	001	071	RevKk&Sn
079	001	072	RevACHnd
079	001	073	RevBrHd1
079	001	074	RevBrHd2
079	001	075	RevBells
079	001	076	RevShkrs
079	001	077	RevSkins
079	001	078	RvStick1
079	001	079	RvStick2
