MSB	PRG	LSB	NME
096	000	000	GndPnoSt
096	000	067	RchGndSt
096	000	070	TghtGdSt
096	000	095	DavidPno
096	000	090	BobPiano
096	000	092	PnoStPad
096	000	100	StGndPSt
096	000	102	StRichSt
096	000	104	StTghtSt
096	000	106	CF Grand
096	001	000	BrghtPno
096	001	065	ChorDigi
096	001	106	CFBrite
096	002	000	CP Piano
096	002	065	Treme.CP
096	003	000	Hnkytnk1
096	003	106	CFHonky
096	004	000	Tea
096	004	064	Deodar
096	004	068	Sweetnes
096	004	083	Tonight
096	004	084	Dyno 83
096	004	091	60's EP
096	005	000	FullTine
096	005	068	ChorTine
096	005	076	90Ballad
096	005	080	DXEP+Cho
096	006	000	Harpsi.1
096	006	067	RichHpsi
096	007	000	Clavic.1
096	007	066	PhaseClv
