MSB	PRG	LSB	NME
097	021	112	Squeeze
097	022	112	MouthKey
097	022	113	AmpdHarp
097	022	114	CromHarp
097	024	112	EspaGtr!
097	026	112	JazzGtr!
097	026	113	Carlos
097	026	114	Destiny
097	027	112	L7 Pluck
097	027	113	WetPluck
097	032	112	UprghtBa
097	033	112	Fnground
097	033	113	Birdland
097	034	112	FlageoBa
097	034	113	DampBass
097	035	112	Fretles!
097	035	113	Frtles!2
097	036	112	New Slap
097	036	113	ThumBass
097	038	112	AcidBas!
097	038	113	SqrBass!
097	039	112	PlsClav!
097	039	113	MogueBas
097	040	112	NuViolin
097	040	113	Viol Inn
097	040	114	C Violin
097	040	115	BrtVioln
097	040	116	MutedVln
097	041	112	BrtViola
097	041	113	Vla Outt
097	042	112	Cello!
097	042	113	Eleanor
097	042	114	Nu Cello
097	043	112	Contrair
097	043	113	DoublBow
097	056	112	Trumpet!
097	056	113	Trumpt!2
097	056	114	FluglHr!
097	056	115	Cornet
097	057	112	Trombon!
097	057	113	MelTrmbn
097	058	112	Tuba!
097	059	112	MuteTrp!
097	059	113	MuteTp!2
097	060	112	FrchHrn!
097	060	113	FrHorn!2
097	064	112	SprnoSx!
097	064	113	CvSoprSx
097	064	114	SoprPipe
097	064	115	LiteSopr
097	065	112	AltoSax!
097	065	113	SweetAlt
097	065	114	LiteAlto
097	065	115	HarpAlto
097	065	116	HarpAlt2
097	065	117	GlassAlt
097	066	112	TenorSx!
097	066	113	MildTenr
097	066	114	Jazz Sax
097	066	115	TenorSub
097	066	116	BellMike
097	066	117	GlassTnr
097	066	118	FunkyTnr
097	066	119	OldTenor
097	067	112	BariSax!
097	067	113	VoxoSaxo
097	068	112	Oboe!
097	068	113	Oboe!2
097	068	114	DblReedy
097	068	115	TripleRd
097	069	112	EngHorn!
097	069	113	Loboe
097	070	112	Bassoon!
097	070	113	Flurinet
097	071	112	Clrinet!
097	071	113	LitePipe
097	071	114	HyperCla
097	072	112	Piccolo!
097	072	113	Picolo!2
097	072	114	BowPicol
097	073	112	C Flute
097	073	113	C Flute2
097	073	114	JazFlute
097	073	115	OakFlute
097	074	112	Recordr!
097	074	113	Claricrd
097	074	114	SoftPipe
097	075	112	Pan Pipe
097	075	113	PanPicol
097	076	112	YamaBotl
097	076	113	Bamboo
097	076	114	Andean
097	076	115	BtlFlute
097	076	116	BtlFlut2
097	077	112	Shakuha!
097	078	112	BowedSaw
097	079	112	Ocarina!
097	080	112	50/50
097	080	113	ChalPuls
097	080	114	Pluck Ld
097	081	112	Brassyn
097	081	113	AcoSynLd
097	081	114	VintLead
097	082	112	Maysbe?!
097	082	113	Air Sax
097	082	114	Baroquen
097	082	115	LipClari
097	083	112	Grunge
097	083	113	Ossyncro
097	083	114	Talk Box
097	084	112	MizuHorn
097	084	113	Floboe
097	085	112	SoftReed
097	085	113	BrethBow
097	087	112	Chamlion
097	087	113	OldMini
097	096	112	MadTube^
097	097	112	StoneHn^
097	098	112	Mu^
097	099	112	Moby^
097	100	112	Igenous^
097	101	112	SquealA^
097	104	112	Sitar!
097	104	113	India
097	109	112	Chanter
097	109	113	ThaiReed
097	110	112	JetLpBow
097	114	112	YamSteel
097	120	112	Jurassic
097	121	112	Formula
097	122	112	Waterfon
097	123	112	Devil
097	124	112	SpcHorse
097	125	112	DinoPerc
097	126	112	SpaceZoo
097	127	112	Jason
