MSB	PRG	LSB	NME
032	000	005	CFGrand
032	001	005	CFBrite
032	002	005	CFLove
032	003	005	CFRock
032	004	005	CFGrnd2
032	005	005	CFRk&Rl
032	006	005	CFDark
032	007	005	CFGrnd3
032	008	005	CFTack1
032	009	005	CFMono
032	010	005	CFRckMn
032	011	005	CFLovMn
032	012	005	OldBlue
032	013	005	1968Pno
032	014	005	CFOct1
032	015	005	CFOct2
032	016	005	CFTack2
032	017	005	CFHonky
032	018	005	CFHouse
032	019	005	BndPass
032	020	005	Squishy
032	021	005	1960s
032	022	005	Dulcim
032	023	005	Reverse
032	024	005	Engulf
032	025	005	Cyclin
032	026	005	Harmony
032	027	005	Haunted
032	028	005	Drops
032	029	005	S&H Pno
032	030	005	CQuence
032	031	005	InScape
032	032	005	CFGrand*
032	033	005	CFBrite*
032	034	005	CFLove*
032	035	005	CFRock*
032	036	005	CFGrnd2*
032	037	005	CFRk&Rl*
032	038	005	CFDark*
032	039	005	CFGrnd3*
032	040	005	CFTack1*
032	041	005	CFMono*
032	042	005	CFRckMn*
032	043	005	CFLovMn*
032	044	005	OldBlue*
032	045	005	1968Pno*
032	046	005	CFOct1*
032	047	005	CFOct2*
032	048	005	CFTack2*
032	049	005	CFHonky*
032	050	005	CFHouse*
032	051	005	BndPass*
032	052	005	Squishy*
032	053	005	1960s*
032	054	005	Dulcim*
032	055	005	Reverse*
032	056	005	Engulf*
032	057	005	Cyclin*
032	058	005	Harmony*
032	059	005	Haunted*
032	060	005	Drops*
032	061	005	S&H Pno*
032	062	005	CQuence*
032	063	005	InScape*
096	000	000	GrdPnoSt
096	000	064	GrdPnoMn
096	000	065	BriteGrd
096	000	066	60s'Grnd
096	000	067	RchGrdSt
096	000	068	RchGrdMn
096	000	069	60s'Jazz
096	000	070	TghtGdSt
096	000	071	TghtGdMn
096	000	072	PowerGrd
096	000	073	MildGrnd
096	000	074	Timeworn
096	000	075	ChorusMn
096	000	076	Doom Pno
096	000	077	PhonoPno
096	000	078	Room Pno
096	000	079	AmbiGrnd
096	000	080	FlngrGrd
096	000	081	CelesGrd
096	000	082	DoublPno
096	000	083	Montuno
096	000	084	GrndDyno
096	000	085	DavidPno
096	000	086	RhodyGrd
096	000	087	Perc.Pno
096	000	088	Grand DX
096	000	089	GrandDX2
096	000	090	BobPiano
096	000	091	PianoStr
096	000	092	PnoStPad
096	000	093	SynStrPf
096	000	094	PianoPad
096	000	095	OctPf+Pd
096	000	096	Pf+Choir
096	000	097	ModPd Pf
096	000	098	Pia-Tron
096	000	099	SitaryPf
096	000	100	StGrdPSt
096	000	101	StGrdPMn
096	000	102	StRichSt
096	000	103	StRichMn
096	000	104	StTghtSt
096	000	105	StTghtMn
096	000	106	CF Grand
096	001	000	BrghtPno
096	001	064	Digital
096	001	065	ChorDigi
096	001	066	Grnd+EP
096	001	067	DigiGrnd
096	001	068	Grnd/wDX
096	001	069	ChoDgPno
096	001	070	GlassPno
096	001	071	DigiTine
096	001	072	SawDigi1
096	001	073	SawDigi2
096	001	106	CFBrite
096	002	000	CP Piano
096	002	064	CP-Symph
096	002	065	Trem. CP
096	002	066	BrightCP
096	002	067	Digi.CP1
096	002	068	Jino CP
096	002	069	Digi.CP2
096	002	070	Petit CP
096	003	000	Hnkytnk1
096	003	064	Hnkytnk2
096	003	065	Hnkytnk3
096	003	066	FMHnktnk
096	003	106	CFHonky
096	004	000	Tea
096	004	064	Deodar
096	004	065	70s' EP
096	004	066	80s' EP
096	004	067	Crisp EP
096	004	068	Sweetnes
096	004	069	Freeway
096	004	070	Trem. 70
096	004	071	Remark
096	004	072	Sample
096	004	073	Mid 70s'
096	004	074	Celest80
096	004	075	At Once
096	004	076	TremDyno
096	004	077	TremWurl
096	004	078	Phase 70
096	004	079	DlydDyno
096	004	080	FlngDyno
096	004	081	Distor70
096	004	082	Dyno 81
096	004	083	Tonight
096	004	084	Dyno 83
096	004	085	Dbl 70s'
096	004	086	Digi-Rho
096	004	087	Choir EP
096	004	088	Paddy EP
096	004	089	VoxPd EP
096	004	090	VibratEP
096	004	091	60s' EP
096	004	092	Trump
096	004	093	DonnyWrl
096	004	094	WurliAmp
096	004	095	Dg.Wurli
096	005	000	FullTine
096	005	064	DX EP2
096	005	065	DX 1980
096	005	066	DX 1990
096	005	067	MellowDX
096	005	068	ChorTine
096	005	069	ChorsEP2
096	005	070	Chor1980
096	005	071	Chor1990
096	005	072	DarkDXEP
096	005	073	FTBallad
096	005	074	SymphEP2
096	005	075	Chor1982
096	005	076	90Ballad
096	005	077	816
096	005	078	DXEP+Pad
096	005	079	DXSynStr
096	005	080	DXEP+Cho
096	005	081	Balmy DX
096	005	082	GlassyEP
096	005	083	FM Piano
096	005	084	ChorFMP1
096	006	000	Harpsi.1
096	006	064	Harpsi.2
096	006	065	Harpsi.3
096	006	066	Harpsi.4
096	006	067	RichHpsi
096	006	068	ShrpHpsi
096	007	000	Clavic.1
096	007	064	Clavic.2
096	007	065	MutedClv
096	007	066	PhaseClv
096	007	067	PhseClv2
096	007	068	WahClavi
096	007	069	DigitClv
096	007	070	ChoDgClv
096	007	071	PhsDgClv
