MSB	PRG	LSB	NME	VXP
033	000	005	Mad Tube	yVl:Mad Tube
033	001	005	VintLead	yVl:VintLead
033	002	005	SpaceZoo	yVl:SpaceZoo
033	003	005	Gtr Hero	yVl:Gtr Hero
033	004	005	StoneHng	yVl:StoneHng
033	005	005	Whizzer	yVl:Whizzer
033	006	005	SimpleBa	yVl:SimpleBa
033	007	005	ClavBass	yVl:ClavBass
033	008	005	SuperBas	yVl:SuperBas
033	009	005	New Slap	yVl:New Slap
033	010	005	RockPigs	yVl:RockPigs
033	011	005	Igneous	yVl:Igneous
033	012	005	50/50	yVl:50/50
033	013	005	Cybastrg	yVl:Cybastrg
033	014	005	Wynth	yVl:Wynth
033	015	005	Buzz Saw	yVl:Buzz Saw
033	016	005	Zub Zub	yVl:Zub Zub
033	017	005	Blue	yVl:Blue
033	018	005	OsciLead	yVl:OsciLead
033	019	005	SqrLead!	yVl:SqrLead!
033	020	005	Bigger	yVl:Bigger
033	021	005	AnaSquid	yVl:AnaSquid
033	022	005	SharpSyn	yVl:SharpSyn
033	023	005	Ana.Wave	yVl:Ana.Wave
033	024	005	Ana.Wurl	yVl:Ana.Wurl
033	025	005	Babalog	yVl:Babalog
033	026	005	FngrBas!	yVl:FngrBas!
033	027	005	UprghtBa	yVl:UprghtBa
033	028	005	Fnground	yVl:Fnground
033	029	005	Birdland	yVl:Birdland
033	030	005	FlageoBa	yVl:FlageoBa
033	031	005	DampBass	yVl:DampBass
033	032	005	Fretles!	yVl:Fretles!
033	033	005	Fretls!2	yVl:Fretls!2
033	034	005	ThumBass	yVl:ThumBass
033	035	005	RockBass	yVl:RockBass
033	036	005	SmooBass	yVl:SmooBass
033	037	005	WarmBass	yVl:WarmBass
033	038	005	YamaBass	yVl:YamaBass
033	039	005	Box Bass	yVl:Box Bass
033	040	005	Bass Cab	yVl:Bass Cab
033	041	005	FruitBas	yVl:FruitBas
033	042	005	AcidBas!	yVl:AcidBas!
033	043	005	SqrBass!	yVl:SqrBass!
033	044	005	PlsClav!	yVl:PlsClav!
033	045	005	MogueBas	yVl:MogueBas
033	046	005	BoppaBas	yVl:BoppaBas
033	047	005	BuzzerBa	yVl:BuzzerBa
033	048	005	MuteHrBa	yVl:MuteHrBa
033	049	005	Tek.Bass	yVl:Tek.Bass
033	050	005	TranzBas	yVl:TranzBas
033	051	005	Chamlion	yVl:Chamlion
033	052	005	Para.Syn	yVl:Para.Syn
033	053	005	SteamBas	yVl:SteamBas
033	054	005	Boo Bass	yVl:Boo Bass
033	055	005	WhelkBas	yVl:WhelkBas
033	056	005	AttakSyn	yVl:AttakSyn
033	057	005	Q. Klav	yVl:Q. Klav
033	058	005	Sitar!	yVl:Sitar!
033	059	005	India	yVl:India
033	060	005	YamSteel	yVl:YamSteel
033	061	005	Stung St	yVl:Stung St
033	062	005	Mu	yVl:Mu
033	063	005	Waterfon	yVl:Waterfon
033	064	005	DinoPerc	yVl:DinoPerc
033	065	005	Formula	yVl:Formula
033	066	005	Jurassic	yVl:Jurassic
033	067	005	Devil	yVl:Devil
033	068	005	SpcHorse	yVl:SpcHorse
033	069	005	Jason	yVl:Jason
033	070	005	Suedhead	yVl:Suedhead
033	071	005	EspaGtr!	yVl:EspaGtr!
033	072	005	JazzGtr!	yVl:JazzGtr!
