MSB	PRG	LSB	NME
000	000	000	GrandPno
000	000	001	GrndPnoK
000	000	018	MelloGrP
000	000	040	PianoStr
000	000	041	DreamPno
000	000	064	ConGrand
000	000	065	ConGrdK
000	000	066	DblConGr
000	000	067	MIDI Grd
000	000	068	MIDI Gr2
000	000	069	OldAcPno
000	001	000	BritePno
000	001	001	BritPnoK
000	001	003	StBrtPno
000	001	020	ResoBPno
000	001	032	DetBrPno
000	001	040	SynPdPno
000	001	064	BriConGr
000	001	065	BrConGrK
000	001	066	MIDI Gr3
000	001	067	MIDI Gr4
000	001	068	OldPiano
000	002	000	EGrndPno
000	002	001	EGndPnoK
000	002	032	Det.CP80
000	002	035	Synth CP
000	002	040	Layer CP
000	002	041	LayerCP2
000	003	000	HnkyTonk
000	003	001	HnkyTnkK
000	004	000	El.Piano
000	004	001	EPiano1K
000	004	018	MellowEP
000	004	032	ChorusEP
000	004	040	HardEPno
000	004	045	VX E.Pno
000	004	064	60sElPno
000	004	065	Old EP
000	004	066	Tribecca
000	004	067	Diploid
000	004	068	Flops
000	004	069	Soho
000	004	070	DetFlops
000	004	071	Diploid2
000	004	072	Brooklyn
000	004	073	Diploid3
000	004	074	PhunkyDX
000	004	075	Nasal DX
000	004	076	DetNslDX
000	004	077	Din
000	004	078	4 Way EP
000	004	079	Easy EP
000	005	000	ElPiano2
000	005	001	EPiano2K
000	005	012	ChorEPDc
000	005	032	Chor.EP2
000	005	033	DX Hard
000	005	034	DX Legnd
000	005	040	DX Phase
000	005	041	DX Analg
000	005	042	DX Kt EP
000	005	045	VX EPno2
000	005	048	ChorsEPK
000	005	052	DX Malet
000	005	064	Shirakwa
000	005	065	OldEPTyn
000	005	066	Flips
000	005	067	DetFlips
000	005	068	Flicks
000	005	069	DetFliks
000	005	070	BrightDX
000	005	071	DetBriDX
000	005	072	Kitayama
000	005	073	Turnpik
000	005	074	Turnpik2
000	005	075	Cerritos
000	005	076	Sunset
000	005	077	Soft DX
000	005	078	Reso DX
000	005	079	PierceDX
000	005	080	Sine EP
000	005	081	Cheap EP
000	005	082	RattleDX
000	005	083	RattlDX+
000	005	084	TinkerDX
000	005	085	TinkrDX+
000	006	000	Hrpschrd
000	006	001	HpschrdK
000	006	002	Hpschrd2
000	006	003	Hpschrd3
000	006	025	Hpschrd4
000	006	032	HapsiDet
000	006	035	Hpschrd5
000	006	040	ElecHpsi
000	006	064	SynHapsi
000	006	080	ShiverDX
000	006	081	ShivrDX+
000	007	000	Clvichrd
000	007	001	ClvchrdK
000	007	027	ClaviWah
000	007	040	CosClavi
000	007	064	PlsClavi
000	007	065	PrcClavi
000	007	066	ClrClavi
000	007	067	SwpClavi
000	007	068	SynClavi
000	007	069	SupClavi
000	007	070	GtrClavi
000	007	071	HardyPlk
000	007	072	HrdyPlk+
000	007	073	DblFMClv
000	007	074	RobotClv
000	008	000	Celesta
000	008	064	FM Celst
000	009	000	Glocken
000	010	000	MusicBox
000	010	064	Orgel
000	010	065	S. Orgel
000	011	000	Vibrafon
000	011	001	VibrafnK
000	011	045	HardVibr
000	012	000	Marimba
000	012	001	MarimbaK
000	012	064	SMarimba
000	012	096	Balafone
000	012	097	Balimba
000	012	098	Log Drum
000	013	000	Xylophon
000	014	000	TubulBel
000	014	096	ChrchBel
000	014	097	Carillon
000	015	000	Dulcimer
000	015	035	Dulcmer2
000	015	096	Cimbalom
000	015	097	Santur
000	016	000	DrawOrgn
000	016	003	StDrawOr
000	016	032	DetDrwOr
000	016	033	60sDrOrg
000	016	034	60sDrOr2
000	016	035	70sDrOrg
000	016	036	DrawOrg2
000	016	037	60sDrOr3
000	016	038	EvenBar
000	016	040	16+2”2/3
000	016	064	Organ Ba
000	016	065	70sDrOr2
000	016	066	CheezOrg
000	016	067	DrawOrg3
000	016	068	StdiumOr
000	016	069	StdiumO2
000	016	070	GospelOr
000	016	071	ClkGspOr
000	016	072	ChapelOr
000	016	073	DimChors
000	016	074	Dawn
000	016	075	MelloOrg
000	016	076	Fuzz Org
000	016	077	FMO
000	016	078	70sDrOr3
000	016	079	Mood Org
000	017	000	PercOrgn
000	017	024	70sPcOrg
000	017	032	DetPrcOr
000	017	033	LightOrg
000	017	037	PercOrg2
000	017	065	WarmJazz
000	017	066	ClickOrg
000	017	067	Grace
000	017	068	Cr.Grace
000	017	069	DimClick
000	017	070	Dusk
000	017	071	FM Click
