MSB	LSB	PRG	NME
057	112	000	BrasSect
057	112	001	Trumpet
057	112	002	FrchHorn
057	112	003	Saxophon
057	112	004	Clarinet
057	112	005	Oboe
057	112	006	Flute
057	112	007	Acordion
057	112	008	Strings
057	112	009	Violin
057	112	010	PipeOrgn
057	112	011	JazzOrgn
057	112	012	GrandPno
057	112	013	ElPiano1
057	112	014	Hrpschrd
057	112	015	Celesta
057	112	016	Vibrafon
057	112	017	Marimba
057	112	018	Clavinet
057	112	019	Glocken
057	112	020	SynBrass
057	112	021	Silence
057	112	022	Crystal
057	112	023	Timpani
057	112	024	Gut Gtr.
057	112	025	Jazz Gtr
057	112	026	Rock Gtr
057	112	027	Sitar
057	112	028	UprghtBa
057	112	029	ElecBass
057	112	030	E.SlapBa
057	112	031	Syn.Bass
057	112	032	Silence
057	112	033	Silence
057	112	034	Silence
057	112	035	Silence
057	112	036	Silence
057	112	037	Silence
057	112	038	Silence
057	112	039	Silence
057	112	040	MutedTrp
057	112	041	Harmnica
057	112	042	ChoirAah
057	112	043	JazzOrgn
057	112	044	Syn.Wood
057	112	045	Syn.Strs
057	112	046	SynVoice
057	112	047	GrandPno
057	112	048	Mild Pno
057	112	049	HnkyTonk
057	112	050	ElPiano2
057	112	051	BritePno
057	112	052	BritePno
057	112	053	Folk Gtr
057	112	054	Rock Gtr
057	112	055	Banjo
057	112	056	Pizz.Str
057	112	057	Harp
057	112	058	SteelDrm
057	112	059	Silence
057	112	060	BrassDcy
057	112	061	FluteDcy
057	112	062	Strs.Dcy
057	112	063	ChoirDcy
057	112	064	PpeOrDcy
057	112	065	JazOrDcy
057	112	066	SynBrDcy
057	112	067	Sax. Dcy
057	112	068	Clvinova
057	112	069	RockGtr2
057	112	070	MutedGtr
057	112	071	MiUprtBa
057	112	072	JazzGtr2
057	112	073	PopBrass
057	112	074	Mild Str
057	112	075	HrdVioln
057	112	076	PipeOrg2
057	112	077	Mild Sax
057	112	078	EHeavyBa
057	112	079	Flute 2
057	112	080	Bassoon
057	112	081	ChmbrStr
057	112	082	JazzOrg2
057	112	083	Silence
057	112	084	Silence
057	112	085	Silence
057	112	086	Silence
057	112	087	Silence
057	112	088	Dist.Gtr
057	112	089	Cosmic 1
057	112	090	Cosmic 2
057	112	091	Cosmic 3
057	112	092	Orch.Hit
057	112	093	Silence
057	112	094	Silence
057	112	095	Silence
057	112	096	Silence
057	112	097	Silence
057	112	098	Silence
057	112	099	Silence
057	112	100	Silence
057	112	101	Silence
057	112	102	Silence
057	112	103	Silence
057	112	104	Silence
057	112	105	Silence
057	112	106	Silence
057	112	107	Silence
057	112	108	Silence
057	112	109	Silence
057	112	110	Silence
057	112	111	Silence
057	112	112	Silence
057	112	113	Silence
057	112	114	Silence
057	112	115	Silence
057	112	116	Silence
057	112	117	Silence
057	112	118	Silence
057	112	119	Silence
057	112	120	Silence
057	112	121	Silence
057	112	122	Silence
057	112	123	Silence
057	112	124	Silence
057	112	125	Silence
057	112	126	DOC Kit
