CdPt	Bitmap
0020	0000000000
0021	0000f40000
0022	00c000c000
0023	48fc48fc48
0024	2858fc6850
0025	6468102c4c
0026	58a4b44814
0027	00a0c00000
0028	0000788400
0029	0084780000
002a	28107c1028
002b	10107c1010
002c	0014180000
002d	1010101010
002e	000c0c0000
002f	0408102040
0030	78c4b48c78
0031	0044fc0400
0032	448c94a444
0033	4884a4a458
0034	103050fc10
0035	e8a4a4a498
0036	78a4a4a418
0037	80809ca0c0
0038	58a4a4a458
0039	6094949478
003a	0000280000
003b	0004280000
003c	0010284400
003d	2828282828
003e	0044281000
003f	408094a040
0040	18a4bc8478
0041	7c9090907c
0042	fca4a4a458
0043	7884848448
0044	fc84848478
0045	fca4a48484
0046	fca0a08080
0047	7884949458
0048	fc202020fc
0049	0084fc8400
004a	080484f880
004b	fc2020508c
004c	fc04040404
004d	fc403040fc
004e	fc403008fc
004f	7884848478
0050	fc90909060
0051	7884948874
0052	fca0b0a844
0053	48a4a4a498
0054	8080fc8080
0055	f8040404f8
0056	e0180418e0
0057	f8047804f8
0058	8c5020508c
0059	c0201c20c0
005a	8c94a4c484
005b	0000fc8400
005c	4020100804
005d	0084fc0000
005e	2040804020
005f	2040804020
0060	0000c0a000
0061	085454543c
0062	fc14242418
0063	1824242408
0064	18242414fc
0065	3854545430
0066	207ca08040
0067	2054545478
0068	fc1020201c
0069	0024bc0400
006a	080424b800
006b	00fc102844
006c	0084fc0400
006d	3c201c201c
006e	3c1020201c
006f	1824242418
0070	7c50505020
0071	205050507c
0072	3c10202010
0073	2054545408
0074	20f8240408
0075	380404083c
0076	3008040830
0077	3804180438
0078	4428102844
0079	6014141478
007a	444c546444
007b	00106c4400
007c	0000fc0000
007d	00446c1000
007e	1010543810
007f	1038541010
0080	fc00788478
0081	40fc0040fc
0082	fc004c9464
0083	fc00a4a458
0084	fc003050fc
0085	fc00e4a498
0086	fc0078a498
