CdPt	Bitmap
0020	00000000000000000000000000000000000000000000
0021	00000000fec0fec00000000000000000000000000000
0022	0000c000e0000000c000e00000000000000000000000
0023	3300ffc0ffc03300ffc0ffc033000000000000000000
0024	39007d806d80ffc06d806f8027000000000000000000
0025	3100330006000c001800330023000000000000000000
0026	7780ffc0d8c0fec0778003c006c00000000000000000
0027	00000000d000e0000000000000000000000000000000
0028	000000007f00ff80c180000000000000000000000000
0029	00000000c180ff807f00000000000000000000000000
002a	210033001e007f801e00330021000000000000000000
002b	0c000c000c007f800c000c000c000000000000000000
002c	00000000034003800000000000000000000000000000
002d	0c000c000c000c000c000c000c000000000000000000
002e	0000000000c000c00000000000000000000000000000
002f	0100030006000c001800300020000000000000000000
0030	7f80ffc0d0c0ccc0c2c0ffc07f800000000000000000
0031	0000000060c0ffc0ffc000c000000000000000000000
0032	61c0e3c0c7c0cec0dcc0f8c070c00000000000000000
0033	6180e1c0c0c0ccc0ccc0ffc077800000000000000000
0034	0e001e0036006600ffc0ffc006000000000000000000
0035	f980f9c0d8c0d8c0d8c0dfc0cf800000000000000000
0036	7f80ffc0ccc0ccc0ccc0efc067800000000000000000
0037	c000c000c1c0c7c0de00f800e0000000000000000000
0038	7380ffc0ccc0ccc0ccc0ffc073800000000000000000
0039	7980fdc0ccc0ccc0ccc0ffc07f800000000000000000
003a	00000000330033000000000000000000000000000000
003b	00000000334033800000000000000000000000000000
003c	00000c001e003f007380e1c0c0c00000000000000000
003d	33003300330033003300330033000000000000000000
003e	c0c0e1c073803f001e000c0000000000000000000000
003f	6000e000c000cec0dec0f00060000000000000000000
0040	6780efc0ccc0c7c0c0c0ffc07f800000000000000000
0041	03c01fc07e00e6007e001fc003c00000000000000000
0042	ffc0ffc0ccc0ccc0ccc0ffc077800000000000000000
0043	7f80ffc0c0c0c0c0c0c0e1c061800000000000000000
0044	ffc0ffc0c0c0c0c0c0c0ffc07f800000000000000000
0045	ffc0ffc0ccc0ccc0ccc0ccc0c0c00000000000000000
0046	ffc0ffc0cc00cc00cc00cc00c0000000000000000000
0047	7f80ffc0c0c0ccc0ccc0efc06f800000000000000000
0048	ffc0ffc00c000c000c00ffc0ffc00000000000000000
0049	00000000c0c0ffc0ffc0c0c000000000000000000000
004a	018001c000c0c0c0ffc0ff80c0000000000000000000
004b	ffc0ffc01c0036006300c18080c00000000000000000
004c	ffc0ffc000c000c000c000c000c00000000000000000
004d	ffc0ffc070003c007000ffc0ffc00000000000000000
004e	ffc0ffc070001e000380ffc0ffc00000000000000000
004f	7f80ffc0c0c0c0c0c0c0ffc07f800000000000000000
0050	ffc0ffc0cc00cc00cc00fc0078000000000000000000
0051	7f80ffc0c0c0c3c0c380ffc07ec00000000000000000
0052	ffc0ffc0ce00cf00cf80fdc078c00000000000000000
0053	7980fdc0ccc0ccc0ccc0efc067800000000000000000
0054	c000c000c000ffc0ffc0c000c000c000000000000000
0055	ff80ffc000c000c000c0ffc0ff800000000000000000
0056	f000fe000f8001c00f80fe00f0000000000000000000
0057	fe00ffc001c03e0001c0ffc0fe000000000000000000
0058	c0c0f3c03f000c003f00f3c0c0c00000000000000000
0059	c000f0003c000fc00fc03c00f000c000000000000000
005a	c1c0c3c0c6c0ccc0d8c0f0c0e0c00000000000000000
005b	00000000ffc0ffc0c0c0000000000000000000000000
005c	6000300018000c000600030001800000000000000000
005d	00000000c0c0ffc0ffc0000000000000000000000000
005e	30006000c000c0006000300000000000000000000000
005f	00c000c000c000c000c000c000c00000000000000000
0060	000000000000e000d000000000000000000000000000
0061	038017c036c036c036c03fc01fc00000000000000000
0062	ffc0ffc00cc018c018c01fc00f800000000000000000
0063	1f803fc030c030c030c039c019800000000000000000
0064	0f801fc018c018c00cc0ffc0ffc00000000000000000
0065	1f803fc036c036c036c03ec01e800000000000000000
0066	000018007fc0ffc0d800c00000000000000000000000
0067	1c803ec036c036c036c03fc03f800000000000000000
0068	ffc0ffc00c00180018001fc00fc00000000000000000
0069	0000000018c0dfc0dfc000c000000000000000000000
006a	0000018011c0d0c0dfc01f8000000000000000000000
006b	ffc0ffc006000f00198030c020400000000000000000
006c	00000000c0c0ffc0ffc000c000000000000000000000
006d	3fc03fc038001fc038003fc01fc00000000000000000
006e	3fc03fc01800300030003fc01fc00000000000000000
006f	1f803fc030c030c030c03fc01f800000000000000000
0070	3fc03fc03600360036003e001c000000000000000000
0071	1c003e003600360036003fc03fc00000000000000000
0072	3fc03fc0180030003000380018000000000000000000
0073	1c803ec036c036c036c037c013800000000000000000
0074	00003000ff80ffc030c000c000000000000000000000
0075	3f803fc000c000c001803fc03fc00000000000000000
0076	38003e00078001c007803e0038000000000000000000
0077	3f803fc000c00f8000c03fc03f800000000000000000
0078	30c039c00f0006000f0039c030c00000000000000000
0079	30403c400ec003800f003c0030000000000000000000
007a	30c031c033c036c03cc038c030c00000000000000000
007b	00000c003f00ffc0c0c0c0c000000000000000000000
007c	00000000ffc0ffc00000000000000000000000000000
007d	0000c0c0c0c0ffc03f000c0000000000000000000000
007e	0c000c000c004c802d001e000c000000000000000000
007f	0c001e002d004c800c000c000c000000000000000000
