RsrcName	Bitmap
mubasic_0	000400040044ffff0044ffff0844ffff084cffff08c0ffff080018003c001800
mubasic_1	000400040004ffff0844ffff0844ffff084cffff0840ffff18c018c03c000000
mubasic_2	000000040844ffff0844ffff0844ffff0844ffff18ccffff18c000003c000000
mubasic_3	000000400040ffff0844ffff0844ffff0844ffff08c4ffff180c18003c000000
mubasic_4	004000400040ffff0044ffff0844ffff08c4ffff0804ffff080c18003c001800
mubasic_5	000000000044ffff0044ffff0044ffff0844ffff08ccffff080018003c003c00
mubasic_6	000400040004ffff0044ffff0044ffff004cffff0840ffff08c008003c003c00
mubasic_7	000600040044ffff0044ffff004cffff0840ffff08c0ffff080018003c003c00
mubasic_8	004e00440044ffff004cffff0840ffff08c0ffff0800ffff080018003c001800
mubasic_9	007f004c004cffff0840ffff08c0ffff0800ffff0800ffff180018003c000000
mubasic_10	005e004c084cffff0840ffff0840ffff08c0ffff0800ffff180000003c000000
mubasic_11	000e08440844ffff084cffff0840ffff0840ffff18c0ffff000000003c000000
mubasic_12	080c08040804ffff0844ffff084cffff1840ffff0040ffff00c000003c000000
mubasic_13	080408040804ffff0844ffff0844ffff184cffff0040ffff00c000c03c000000
mubasic_14	000000000804ffff0844ffff0844ffff0844ffff184cffff00c000003c000000
mubasic_15	000000000044ffff0844ffff0844ffff0844ffff08ccffff180018003c000000
munativ_0	0000021003180318039c0294021002100210021002100e7016b01ef01ef00c60
munativ_1	000004200630073806300420042004200420042004200c6014a01ce01ce00c60
munativ_2	0000084018c018c01ce00c60084008400840084008400c600a500e700e700c60
munativ_3	000010803180738052803180108010801080108010801ce01ad01ef01ef00c60
munativ_4	0000318073807380d6801080108010801080108010801ce01ad01ef01ef00c60
munativ_5	0000108031803180738052801080108010801080108018c014a01ce01ce018c0
munativ_6	000008400c600c601ce018c00840084008400840084018c0294039c039c018c0
munativ_7	000008400c600e700a500c600840084008400840084039c05ac07bc07bc03180
munativ_8	000018c01ce01ce016b010801080108010801080108031805280738073803180
munativ_9	000021006300630073803180210021002100210021003180294039c039c03180
munativ_10	000021006300e700a50063002100210021002100210039c035a03de03de018c0
munativ_11	00006300e700e700ad002100210021002100210021003180294039c039c03180
munativ_12	0000108018c018c039c031801080108010801080108031805280738073803180
munativ_13	0000108018c01ce014a018c0108010801080108010807380b580f780f7806300
munativ_14	00000c600e700e700b5808400840084008400840084039c05ac07bc07bc03180
munativ_15	00000420063007bc07380420042004200420042004201ce02d603de03de018c0
munativ_16	0000021003180318039c0294021002100210021002100e7016b01ef01ef00c60
munativ_17	000004200630073806300420042004200420042004200c6014a01ce01ce00c60
munativ_18	0000084018c018c01ce00c60084008400840084008400c600a500e700e700c60
munativ_19	000010803180738052803180108010801080108010801ce01ad01ef01ef00c60
munativ_20	318073807380528094801080108010801080108018c014a01ce01ce00c600000
munativ_21	000010803180f780738010801080108010801080108018c014a01ce01ce018c0
munativ_22	000008800d800d801d801a800980088008800880088018c028a038e038e018c0
munativ_23	0000108031803180398018c01080108010801080108018c014a01ce01ce018c0
munativ_24	000008800d800d801d8018c00880088008800880088018c028a038e038e018c0
munativ_25	0000108031803180398018c01080108010801080108018c014a01ce01ce018c0
munativ_26	000008400c600c601ce018c00840084008400840084018c0294039c039c018c0
munativ_27	04200630073805280630042004200420042004200c6014a01ce01ce018c00000
munativ_28	00000420073807bc06b40420042004200420042004200c6014a01ce01ce00c60
munativ_29	0210031803de039c02100210021002100210021006300a500e700e700c600000
munativ_30	00000210039c03de031802100210021002100210021006300a500e700e700630
munativ_31	00000210031803de039c0210021002100210021002100e7016b01ef01ef00c60
