CdPt	Bitmap
0020	0000000000
0021	0000f20000
0022	00e000e000
0023	28fe28fe28
0024	2454fe5448
0025	c6c8102646
0026	6c92aa440a
0027	a0c0000000
0028	0038448200
0029	0082443800
002a	28107c1028
002b	10107c1010
002c	000a0c0000
002d	1010101010
002e	0006060000
002f	0408102040
0030	7c8a92a27c
0031	0042fe0200
0032	42868a9262
0033	8482a2d28c
0034	182848fe08
0035	e4a2a2a29c
0036	3c5292920c
0037	80809ea0c0
0038	6c9292926c
0039	6092929478
003a	006c6c0000
003b	006a6c0000
003c	1028448200
003d	2828282828
003e	0082442810
003f	40808a9060
0040	4c929e827c
0041	7e8888887e
0042	82fe92926c
0043	7c82828244
0044	82fe82827c
0045	fe92929282
0046	fe90909080
0047	7c8282925e
0048	fe101010fe
0049	0082fe8200
004a	040282fc80
004b	fe10284482
004c	fe02020202
004d	fe403040fe
004e	fe60100cfe
004f	7c8282827c
0050	fe90909060
0051	7c828a847a
0052	fe90989462
0053	649292924c
0054	8080fe8080
0055	fc020202fc
0056	f8040204f8
0057	fe041804fe
0058	c6281028c6
0059	e0100e10e0
005a	868a92a2c2
005b	0000fe8200
005c	4020100804
005d	0082fe0000
005e	2040804020
005f	0202020202
0060	8040200000
0061	042a2a2a1e
0062	fe1222221c
0063	1c22222214
0064	1c222212fe
0065	1c2a2a2a18
0066	00107e9040
0067	304a4a327c
0068	fe1020201e
0069	0022be0200
006a	040222bc00
006b	00fe081422
006c	0082fe0200
006d	3e201e201e
006e	3e1020201e
006f	1c2222221c
0070	7e30484830
0071	304848307e
0072	3e10202010
0073	1a2a2a2a26
0074	20fc220204
0075	3c02023c02
0076	3804020438
0077	3c020c023c
0078	2214081422
0079	700a0a127c
007a	22262a3222
007b	00106c8200
007c	0000ee0000
007d	00826c1000
007e	4080402040
007f	0000000000
