ID	Name
SilntKit	-- SILENT --
Standard	STANDARD
Standrd2	STANDARD 2
StdrdL/R	STANDARD L/R
Room Kit	ROOM
HipHopKt	HIP HOP
JungleKt	JUNGLE
TechnoKt	TECHNO
Room L/R	ROOM L/R
HouseKit	HOUSE
PowerKit	POWER
ElectrKt	ELECTRONIC
AnalogKt	ANALOG
DanceKit	DANCE
CR-78 Kt	CR-78
TR-606Kt	TR-606
TR-707Kt	TR-707
AnalgKt2	ANALOG 2
Jazz Kit	JAZZ
Jazz L/R	JAZZ L/R
BrushKit	BRUSH
BrushKt2	BRUSH 2
Brush2LR	BRUSH 2 L/R
Orch.Kit	ORCHESTRA
EthnicKt	ETHNIC
KikSnare	KICK & SNARE
KkSnare2	KICK SNARE 2
AsianKit	ASIA
CymbalKt	CYMBAL&CLAPS
GamelnKt	GAMELAN
GamlnKt2	GAMELAN 2
SFX Kit	SFX
RyFX Kit	RHYTHM FX
RyFX2 Kt	RHYTHM FX 2
RyFX3 Kt	RHYTHM FX 3
SFX Kt 2	SFX 2
VoiceKit	VOICE
CymblKt2	CYMBL&CLAP 2
NewSFXKt	NEW SFX
NuSFXKt2	NEW SFX 2
NoisesKt	NOISES
TechnoHi	TECHNO HIGH
TechnoLo	TECHNO LOW
BsDrumKt	BASS DRUM
RvBDrmKt	RV.BASS DRUM
SakuraKt	SAKURA
S. Latin	SMALL LATIN
ChinaKit	CHINA
ArabicKt	ARABIC
IndianKt	INDIAN
AfroCuba	LV!AFRO-CUBA
AfrCuba2	LV!AFROCUBA2
BrazilKt	LV! BRAZIL
PopLatin	POP LATIN
PopLatn2	POP LATIN 2
PopPerc.	POP PERC.
Cymbl^Kt	CYMBAL ^
AfrBigKt	AFRICA BIG
StdId1Kt	STD + INDIA1
StdId2Kt	STD + INDIA2
StdId3Kt	STD + INDIA3
ArabMxKt	ARABIC MIX
IranMxKt	IRANIAN MIX
TurkeyKt	TURKISH
Voices 1	VOICES 1
SndEfKit	SOUND EFFECT
Voices 2	VOICES 2
India2Kt	INDIAN 2
StdChnKt	STD + CHINA
StndKit#	STANDARD #
Dry Kit	DRY
BrightKt	BRIGHT
Skim Kit	SKIM
Slim Kit	SLIM
RogueKit	ROGUE
Hob Kit	HOB
DarkRoom	DARK ROOM
Rock Kit	ROCK
RockKit2	ROCK 2
ApogeeKt	APOGEE
PerigeKt	PERIGEE
JazzKit2	JAZZ 2
SymphnKt	SYMPHONY
Ntrl Kit	NATURAL
NtrlFunk	NATURAL FUNK
AnlgT8Kt	ANALOG TR808
AnlgT9Kt	ANALOG TR909
Hous!Kit	HOUSE!
DrumMchn	DRUM MACHINE
TrampKit	TRAMP
AmberKit	AMBER
CoffinKt	COFFIN
DubstpKt	DUBSTEP
EDM Kit	EDM
Elect^Kt	ELECTRONIC ^
Trap Kit	TRAP
SchlgrKt	SCHLAGER
PopDrmKt	LV! POP DRUM
JzBrCpKt	L!JAZZ BRUSH
Lv StdKt	LV! STANDARD
LvFunkKt	LV! FUNK
Lv Brush	LV! BRUSH
Std&Perc	LV! STD&PERC
FunkPerc	LV!FUNK&PERC
Brush&P.	L!BRUSH&PERC
StudioKt	LV!STUDIO
Pwr^Kit1	LV! POWER 1
Pwr^Kit2	LV! POWER 2
Acou.Kit	LV! ACOUSTIC
Rock^Kit	LV! ROCK
RealDrKt	LV!REAL DRUM
R&B Kit	R & B
RockKit3	ROCK 3
