ID	Name
KGrdPno1	Kross Grand Piano 1
63 65 00	R&B Suit EP Phaser
63 66 00	Preamp Suit EP
63 67 00	Distorted Suit EP SW2
63 68 00	Dist. & Phaser Suit EP
63 69 00	1984 Suit EP
63 70 00	Classic Bell Suit EP
63 71 00	Mark I Line Suit EP
63 72 00	Mark I Silver Suit EP
63 73 00	Tremolo Suit EP
63 74 00	Chorus & U-Vibe Suit EP
63 75 00	U-Vibe & Echo Suit EP
63 76 00	Bi-Phase Suit EP MW
63 77 00	Phaser Suit EP 1
63 78 00	Phaser Suit EP 2
63 79 00	Preamp & Wah Suit EP
63 80 00	Wah Wah Suit EP
63 81 00	BPM Delay Suit EP
63 82 00	Mark V Suit EP
63 83 00	Hard Suit EP
63 84 00	Studio Dyno EP
63 85 00	EQ / Chorus Dyno EP
63 86 00	Chorus Dyno EP
63 88 00	Wah Wheel Reed EP
63 89 00	Mellow Reed EP
63 90 00	Tremolo Reed EP
63 91 00	Reed EP Overdrive
63 92 00	Rockin' Reed EP
63 93 00	Chorus Reed EP
63 94 00	Phaser Reed EP
63 95 00	Pure Suit EP + Pad
63 96 00	Bright Suit EP + Pad 1
63 97 00	Bright Suit EP + Pad 2
63 98 00	Hard Suit EP + DX EP
63 99 00	Deluxe DX E. Piano 1
63 a0 00	Deluxe DX E. Piano 2
63 a1 00	Classic DX E. Piano 1
63 a2 00	Classic DX E. Piano 2
63 a3 00	Classic DX E. Piano 3
63 a4 00	DX E. Piano + Strings
63 a5 00	DX E. Piano + EP Pad 1
63 a6 00	DX E. Piano + EP Pad 2
63 a7 00	DX E. Piano + Syn Pad
63 a8 00	FM Suitcase E. Piano
63 a9 00	Chorus DX + Suit EP
63 b0 00	DX EP + Dyno EP
63 b1 00	Pad Electric Piano 1
63 b2 00	Pad Electric Piano 2
63 b3 00	Pad Electric Piano 3
63 b4 00	Hybrid Phaser EP
63 b5 00	E. Piano Pad + Synth
63 b6 00	Super Grand
63 b7 00	Phantom Electric Piano
63 b8 00	Tablet E. Piano SW2
63 b9 00	Tablet E. Harpsi. SW2
63 09 01	Higher Ground Clavichord
63 10 01	Superstition Clavichord
63 11 01	Kid Charlmagne Clavi.
63 12 01	Trampled Under Clavi.
63 13 01	Phaser Clavichord SW1
63 14 01	Velo Switch WS Clavi.
63 15 01	Pure Clavichord
63 16 01	Single Harpsicord
63 17 01	Double Harpsicord 1
63 18 01	Double Harpsicord 2
63 19 01	Jazz Perc. E. Organ 1
63 20 01	Jazz Perc. E. Organ 2
63 21 01	Jazz Perc. E. Organ 3
63 22 01	CX3 Percussive E. Organ
63 23 01	Mondo Perc. E. Organ
63 24 01	88 Percussive E. Organ
63 25 01	Entertainer E. Organ
63 26 01	888 Electric Organ
63 27 01	Warm Overdriven E. Organ
63 28 01	Bossa Electric Organ
63 30 01	Gospel Electric Organ
63 31 01	Compressor E. Organ
63 32 01	Drawbars E. Organ 1 MW
63 33 01	Drawbars E. Organ 2 MW
63 34 01	Manual Compr. E. Organ
63 35 01	Vibrato / Chorus E. Org
63 36 01	800000048 E. Organ
63 37 01	880000048 E. Organ
63 38 01	Warm Gospel E. Organ
63 39 01	Tremolo Electric Organ
63 40 01	Full To Soft E. Organ
63 41 01	Full BX3 Electric Organ
63 42 01	Full Rock Electric Organ
63 43 01	Vintage Electric Organ
63 44 01	Church Electric Organ
63 45 01	Ballad Eletric Organ
63 46 01	Slow Blues E. Organ
63 47 01	Fast Blues E. Organ
63 48 01	Overdriven Rock E. Organ
63 50 01	Master Rock E. Organ
63 51 01	Gospel Perc. E. Organ
63 52 01	M1 Organ
63 53 01	Full Vox E. Organ
63 54 01	Vox Tabs E. Organ SW2
63 55 01	60's Sound E. Organ
63 56 01	Far Pro 1 E. Organ
63 57 01	Far Pro 1 E. Organ
63 58 01	Combo E. Organ
63 59 01	Follow You / Me Organ
63 60 01	Sine Wheel Organ
63 61 01	VS Church Organ
63 62 01	DWGS Pop Organ
63 63 01	DWGS Church Organ
63 64 01	16' Sine Wheel Organ
63 65 01	5+1/3' Sine Wheel Organ
63 66 01	8' Sine Wheel Organ
63 67 01	4' Sine Wheel Organ
63 68 01	2+2/3' Sine Wheel Organ
63 69 01	2' Sine Wheel Organ
63 70 01	1+3/5' Sine Wheel Organ
63 71 01	1+1/3' Sine Wheel Organ
63 72 01	1' / Perc. Sine Wheel
63 73 01	Medium Pipe Organ
63 74 01	Full Pipe Organ 1
63 75 01	Full Pipe Organ 2
63 76 01	Mixture Pipe Organ
63 77 01	Positive Pipe Organ
63 78 01	Positive / Mixture Pipe
63 79 01	Reed Pipe Organ
63 80 01	Street Organ
63 81 01	8'+8' Accordion
63 82 01	8'+4' Accordion
63 83 01	Stylish Accordion 1
63 84 01	Stylish Accordion 2
63 85 01	Musette + Principal
63 86 01	Bandoneon
63 87 01	Fisa 1
63 88 01	Fisa 2
63 89 01	Fisa 3
63 90 01	Pump / Reed Organ
63 91 01	Key Flute
63 92 01	Ensemble Bells
63 93 01	Puffle Bells
63 94 01	Breathy Bells
63 95 01	Heaven Bells
63 96 01	Soft Ensemble Bells
63 97 01	DWGS Bells 1
63 98 01	DWGS Bells 2
63 99 01	Tinkle Bells
63 a0 01	Magic Bells
63 a1 01	Low FS Bells
63 a2 01	Delayed Bells
63 a3 01	Pure Satin Bells
63 a4 01	FM Metal Bells
63 a5 01	FM Glass Bells 1
63 a6 01	FM Glass Bells 2
63 a7 01	FM Tubular Bells
63 a8 01	FM Bells
63 a9 01	Krystal Bells
63 b0 01	Cathedral Bells
63 b1 01	Tubular Bells
63 b2 01	Toy Hand Bells
63 b3 01	Music Box
63 b4 01	Plated Bells
63 b5 01	Glockenspiel
63 b6 01	Vibraphone
63 b7 01	Steel Tongue Drums
63 b8 01	Steel Drums
63 b9 01	Gamelan
63 c0 01	Sarna Bells
63 c1 01	Kalimba
63 c2 01	Xylophone
63 c3 01	Marimba
63 c4 01	Mondo-Rimba
63 c5 01	Skull Mallets
63 c6 01	Tribal Mallets
63 c7 01	Log Drums
63 03 02	Lush Strings 1
63 04 02	Lush Strings 2
63 05 02	Bright Strings
63 06 02	Stereo Arco Strings
63 07 02	Legato Strings 1
63 08 02	Legato Strings 2
63 09 02	Symphonic Strings
63 11 02	Platinum Strings
63 12 02	Camera Strings
63 13 02	Few Bows Strings
63 14 02	Intimate Strings
63 15 02	Arco Pop Strings
63 16 02	Pop Strings
63 17 02	Octave Strings
63 18 02	Maestoso Strings
63 19 02	Pizzicato Ensemble SW2
63 20 02	Pizz. / Str. Quartet SW1
63 21 02	Str. Quartet/Pizz. SW1
63 22 02	Violin 1 SW1
63 23 02	Violin 2 SW1
63 24 02	Viola 1 SW1
63 25 02	Viola 2 SW1
63 26 02	Cello 1 SW1
63 27 02	Cello 2 SW1
63 28 02	Contrabass 1 SW1
63 29 02	Contrabass 2 SW1
