ID	Name
Jazz Gtr	JazzGuitar
BrtPiano	BritePiano
HammrPno	HammerPno
New Tine	New Tines
Digi.Pno	Digi Piano
FullOrgn	Full Organ
BX3 Orgn	BX-3 Organ
ChrchPpe	ChurchPipe
ClassGtr	ClassicGtr
Acou.Gtr	AcouGuitar
MuteGtr.	MuteGuitar
Ovrdrive	Over Drive
Dst.Gtr.	DistGuitar
RockHrmo	RockMonics
Jazzy Ba	Jazz Bass
DeepBass	Deep Bass
SlpBass1	Slap Bs 1
SlpBass2	Slap Bs 2
Pizzcato	Pizzicato
Slow Str	SlowString
Anal.Pad	Analog Pad
StringPd	String Pad
DooVoice	Doo Voice
SynBrass	Syn Brass
Swt Oboe	Sweet Oboe
BasnOboe	BasoonOboe
SquareWv	SquareWave
SyCaliop	SynCaliope
SynChiff	SynChiffer
SyCharan	SynCharang
AirChor.	Air Chorus
Rezzo4th	Rezzo 4ths
GhostPad	Ghost Pad
BowGlass	BowedGlass
SndTrack	SoundTrack
EchoDrop	Echo Drop
StarThme	Star Theme
MetalBel	Metal Bell
Acou.Tom	Tom
SynthTom	Synth Tom
NoizChif	NoiseChiff
Stadium!	Stadium!!!
DanceKit	Dance Kit
Piano16'	Piano 16'
AltoBrth	AltoBreath
TinyDncr	TinyDancer
SpruceGt	Spruce Gtr
VibrBell	Vibra Bell
CrFadeBa	XFade Bass
TheStrs.	TheStrings
PowerSyn	PowerSynth
TotalKit	Total Kit
MchinAge	MachineAge
BrasBand	Brass Band
MaxiTine	Maxi Tine
Pwr Rock	Power Rock
TablTalk	Tabla Talk
Lite Vox	LiteVoices
ColorPad	Colour Pad
Festival	Festival!
GlideSwp	GlideSweep
LastTngo	Last Tango
MagicFlu	MagicFlute
ElectrGt	E. Guitars
Digi.Air	DigitalAir
Analgist	Analogist
MndoTrem	Mando.Trem
SpaceWng	Space Wing
GospelOr	Gospel Org
FreshAir	Fresh Air
RockMute	Rock Mutes
ChambrEn	ChamberEns
Industry	Industrial
PnoHaven	PianoHaven
ShkuBend	Shaku Bend
BowenWav	Bowen Wave
Cln Funk	Clean Funk
SplitBel	Split Bell
OrchPerc	Orch Perc
DreamWld	DreamWorld
HrpsiFnk	HarpsiFunk
FlugelHr	FlugelHorn
Elec.Tap	Elec. Tap
Harmonic	Harmonics
TechnoBa	TechnoBass
Heartbit	Heartbeat
FullPipe	Full Pipes
Woodwind	Woodwinds
Lead Gtr	LeadGuitar
FatFrett	Fat Fretty
PoppinPd	Poppin'Pad
SoftHorn	Soft Horns
Prod.Kit	ProducrKit
In Trees	InTheTrees
SantaClv	Santa Clav
Sforz<Br	Sfz< Brass
PdlSteel	PedalSteel
Log Drum	Log Drums
House Ba	HouseBass1
Ambi.Vox	Ambi.Voice
MonoLead	Mono Lead
Hackbret	Hackbrett
HalifxNS	Halifax NS
HardTine	Hard Tines
DrGuitar	Dr. Guitar
EtherBel	EtherBells
BassHrmo	Bass/Harmo
Air Vox	Air Voices
50sSciFi	50's SciFi
SteamCld	SteamCloud
BrightBr	BriteBrass
JoyStick	JoyStickUp
WavCycle	WaveCycles
OooohPad	Oooooh Pad
BrightPd	Bright Pad
HarpPlck	Harp Pluck
ElastkPd	ElastikPad
ExprssPF	ExpressoPF
PerkySax	PerkySaxes
CrFadeEP	XFade EP
JewelBox	JewelryBox
WoodnYou	WoodenYou?
SymphoBr	Symphonic
LeadStab	Lead Stab
SpacePet	Space Pets
Brastero	Brasstereo
Methn.EP	Methane EP
ShmiMlet	ShamiMalet
IceFlake	Ice Flakes
RthmJunk	RhythmJunk
BelShwer	BellShower
TmbFlute	TamboFlute
Strummer	Strummers
Sweep Ba	Sweep Bass
PanMllet	Pan Mallet
SteamBrs	SteamBrass
PrieDawn	PrarieDawn
RotaryOr	Rotary Org
SuprTine	Super Tine
Choir LR	Choir L+R
Mr. Gong	[Mr. Gong]
BigOrgan	Big Organ
MutedEns	Muted Ens.
FeedbkGt	FeedbackGt
ArcoAttk	ArcoAttack
Mr.Clean	Mr. Clean
SynBass3	SynthBass3
SwtReeds	SweetReeds
PpeDream	PipeDreams
Big Strs	BigStrings
AsiaJung	Asian Jung
RockOn!!	Rock On!!!
GlockBel	GlockBells
FatRezBa	FatRezBass
BreathVx	BreathyVox
KrazyKit	[KrazyKit]
Transfms	Transforms
PopBrass	Pop Brass
HarpGlis	Harp Gliss
BrtSteel	BriteSteel
PingMlet	PingMallet
VelFlute	Velo Flute
ComboKit	[ComboKit]
WavSweep	Wave Sweep
FunkRoad	FunkyRoads
Anal.Str	AnaStrings
EuroPipe	Euro Pipe
Stratify	Stratified
CrystIce	CrystalIce
Dance Ba	Dance Bass
GhostVox	Ghost Vox
FatFiltr	FatFilterz
DownLoKt	[Down Low]
SuprPerc	Super Perc
BrsSwell	BrassSwell
FollowMe	Follow Me
Log&Bell	Logs&Bells
90s Bass	90's Bass
FreshWav	FreshWaves
MIDI Grd	MIDI Grand
LandnPad	LandingPad
Dyno Str	DynoString
Chrunchr	Chruncher
StarFire	Star Fire
RezWaves	Reso Waves
Manimals	[Manimals]
ClickOrg	ClickOrgan
St. Horn	StereoHorn
MletLoop	MalletLoop
MtlGhost	MetalGhost
VeloPick	Velo Pick
Loop SFX	[Loop SFX]
TimeClks	TimeClocks
Class EP	Classic EP
CelloEns	Cello Ens.
Godfathr	Godfather
Funk Gtr	FunkGuitar
R.Gamlon	RealGamlon
ChromeBa	ChromeBass
RShkhchi	Real Shaku
Spl.Sync	Split Sync
NatureKt	[ Nature ]
SyTronic	SynTronic
SuprBX-3	Super BX-3
TrumpEns	Trump Ens.
RockChga	Rock Chuga
Ice Man	TheIceMan
VeloSlap	Velo Slap
SwellPad	Swell Pad
Natives!	[Natives!]
DynoTine	Dyno Tines
VelFlugl	VeloFlugel
PolkaBox	Polka Box
SwissBox	Swiss Box
Arbesque	Arabesque
DrillMe!	[DrillMe!]
Univrs.X	Universe X
EthncVln	EthnoVioln
R. Sitar	Real Sitar
GreekGtr	Greek Gtr.
MIDI Bel	Midi Bells
Stick Ba	Stick Bass
SoprnoVx	SopranoVox
Solo Syn	Solo Synth
Jet Star	[Jet Star]
ChunkaPk	ChunkaPick
HighWire	High Wire
CicadaBg	CicadaBugs
Pno&Str	Piano&Str
