ID	Name
FulGrand	Full Grand Piano
Sweetnes	Sweetness E. Piano
PWM Perc	PWM Percussion
HyperStd	Hyper Standard Kit
DryStdKt	Dry Standard Kit
RockStK1	Stereo Rock Kit 1
RockStK2	Stereo Rock Kit 2
RkMono1	Mono Rock Kit 1
RkMono2	Mono Rock Kit 2
HipHpKt1	Hip Hop Kit 1
HipHpKt2	Hip Hop Kit 2
HipHpKt3	Hip Hop Kit 3
HipHpKt4	Hip Hop Kit 4
HipHpKt5	Hip Hop Kit 5
HipHpKt6	Hip Hop Kit 6
HpStkKt1	Hip Hop Stick Kit 1
HpStkKt2	Hip Hop Stick Kit 2
HpStkKt3	Hip Hop Stick Kit 3
HpStkKt4	Hip Hop Stick Kit 4
AnalogT9	Analog T9 Kit
AnalogT8	Analog T8 Kit
Dist.Kit	Distortion Kit
Orch.Kit	Orchestra Kit
AllRndKt	All Round Kit
RokMulti	Rock Multi Kit
HipMulti	Hip Hop Multi Kit
Perc Kit	Percussion Kit
LatnPerc	Latin Percussion Kit
Gtr/BsFx	Guitar / Bass Effects
ScrtchKt	Scratches Kit
AcsSnare	Acoustic Snares
StSnares	Stereo Snares
SynPopKt	Synth Pop Kit
ArabMxKt	Arabic Mix Kit
BlyDance	Belly Dance Kit
SynthSFX	Synthetic SFX Kit
SinglOsc	Single Oscillator
TrncMelo	Trance Melody
PolyTrnc	Poly Trance Lead
