ID	Name
StStdKit	StStandKit
AmbStdrd	AmbStandKt
RoomKit2	Room Kit 2
StRoomKt	St.RoomKit
Amb.Room	AmbRoomKit
PowerKt2	PowerKit 2
StPwrKit	StPowerKit
GatedPwr	GatedPower
BullyKit	Bully Kit
StJazzKt	St.JazzKit
Amb.Jazz	AmbJazzKit
SBrushKt	StBrushKit
AmbBrush	AmbBrushKt
GrndPnoW	Piano 1 w
GrndPnoD	Piano 1 d
Acou.Pno	Acou.Piano
AcouPnoW	Acou.Pno w
Mild Pno	Mild Piano
St.Pno 1	St.Piano 1
St.Pno1W	St.Piano1w
EuropePf	Europe Pno
SDPianoW	SD Piano w
Class Pf	Classic Pf
BritPnoW	Piano 2 w
Rock Pno	Rock Piano
RockPnoW	Rock Pno w
St.Pno 2	St.Piano 2
St.Pno2W	St.Piano2w
EnhPiano	Enh. Piano
Enh.PnoW	EnhPiano w
EGndPnoW	EGrndPno w
EGrdPno2	
SftRhode	SoftRhodes
FatRhode	Fat Rhodes
TrmRhode	TremRhodes
Stage 73	Stage 73EP
Phs.Dyno	PhaserDyno
CouplHps	CouplHapsi
StCplHps	StCouplHps
AtkClv 2	AtakClav.2
St.Glock	St.Glocken
Tone Whl	Tone Wheel
RokrSpin	RockerSpin
StHrmnca	StHarmnica
NylnGtr2	NylonGtr 2
EnhGutGt	EnhGutGtr.
SteelGt2	
JazzGtr3	Jazz Gtr 3
LdJazGtr	LeadJazGtr
Strat2Rr	Strat2Rear
335ClnGt	335 Guitar
FdbkGtr2	FeedbkGtr2
MtDstGtr	MutedDstGt
HeavyDsG	HeavyDstGt
Rokabily	Rockabilly
FatAcBas	FatAco.Bas
EnhAcBas	EnhAco.Bas
FngrPkBa	FingrPikBa
JazzBass	Jazz Bass
Pre Bass	PrecisnBas
PhsFrtls	PhasrFrtls
SlapPop1	SlapPopBa1
SynBa101	SynthBs101
FatSynBa	FatSynthBa
SynSawBa	SynthSawBa
JpSawRbr	JpSawRubbr
Violin V	Violin v
Violin2V	Violin 2v
EnhVioln	Enh.Violin
Viola 2V	Viola 2v
Cello 2V	Cello 2v
StTrmStr	StTremStrs
St. Pizz	
St. Harp	StereoHarp
St.Strs2	StStrings2
StSlStr2	StSlwStrs2
StkSyStr	StakSynStr
StSmlAah	StSmallAah
BassHit2	Bass Hit 2
Solo Trp	SoloTrumpt
RmntcTrp	RomanticTp
EnhTrmpt	Enh.Trumpt
TrombonV	Trombone v
EnMuteTp	EnhMutedTp
StFrHorn	St.Fr.Horn
StBigBrs	StBigBrass
SpJPBrs2	SuprJPBrs2
BrthAlto	Brthy Alto
AltoSaxV	Alto Sax v
BrthTenr	BrthyTenor
BlowTenr	BlownTenor
BareBari	Bare Bari.
BariSaxV	Bari.Sax v
ClasOboe	Class.Oboe
Enh.Oboe	EnhnceOboe
BrtClari	BriteClari
JzClari2	JazzClari2
Flute V	Flute v
RecordrV	Recorder v
FatSqrLd	FatSqrLead
NatureLd	NatureLead
SeqSawLd	SeqSawLead
FatSawSl	FatSawSolo
HybrdSaw	Hybrid Saw
DelaySeq	DelaySeqns
FlngrSaw	FlangerSaw
FatSawLd	FatSawLead
LdCaliop	LeadCaliop
ChiffLd3	ChifferLd3
Delay.Ld	Delay.Lead
SuffleLd	SuffleLead
ChoirPd2	ChoirPad 2
Brt.Star	BrightStar
Goblins2	Goblins 2
Goblins3	Goblins 3
St.Sitar	St. Sitar
